id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/40212399	10.2307/40212399	Celluloid Love Songs: Musical "Modus Operandi" and the Dramatic Aesthetics of Romantic Hindi Film	Natalie Sarrazin	Popular Music	27	3	2008-10-01T00:00:00Z	pp. 393-411	Cambridge University Press	fla		In Hindi cinema, love songs comprise the vast majority in an industry in which almost every film contains song and dance numbers. Often incorrectly characterised as narrative interruptions, these celluloid creations contain indigenous aesthetics and self-identifying cultural values, and employ contemporary cinematic techniques which impact film song content and context. How do these cinematic techniques intensify the viewing experience and allow traditional aesthetic ideals to coexist with contemporary codes relevant to a burgeoning Indian middle class and diaspora? Beginning with an examination of traditional sources and contemporary values regarding music and emotion, I address the particularly important notion of displaying heart, often the centrepiece of thematic and dramatic tension as well as the love song soundtrack. As the primary emotional genre, I analyse the use of heart in romantic films and suggest a general typology of romantic film songs and their aesthetics, including commonly used musical motifs and codes. Finally, I compare musical, cinematic and narrative components of the Indian romantic genre with those aspects of the American film musical, particularly in relation to cultural values and ideological differences. The iconic use of a couple-centric narrative is examined in relation to Indian displays of emotion, and love song duets are contextualised through description of several pervasive cinematic techniques used to heighten the emotional impact of songs on the audience. I conclude with a focus on the relationship between the song sequence and the narrative structure, particularly how this serves to intensify the narrative flow rather than interrupt it.	
10.2307/3950739	10.2307/3950739	'Love Bugs' Decline with Fall's Arrival		Science News	90	16	1966-10-15T00:00:00Z	p. 308	Society for Science & the Public	mis			
10.2307/461844	10.2307/461844	Nature and Self-Love: A Reinterpretation of Rousseau's "Passion Primitive"	Juliet Flower MacCannell	PMLA	92	5	1977-10-01T00:00:00Z	pp. 890-902	Modern Language Association	fla		Rousseau opposed both traditional and modern (empiricist) thinking when he made self-love the cornerstone of his system. Other modes of thought treat self-consciousness as constituted primarily by temporal desire. Rousseau raises love, for him the suspension of desire, to a position of ontological primacy in regard to self-consciousness. Like Pascal, he throws the empirical existence of the self into radical question and finds it to be as insubstantial and empty a concept as the Western tradition has found it-from Ecclesiastes and Socrates on. Rousseau declines the moralistic reproof of the self, however, and emphasizes its insubstantiality as its one strength, although a fictional one. The self exists only in the mode of a hypothesis (the fictional "as if"): it is a failure at being. But to amour (and to pitié) it makes all the difference and is worthy of their support.	
10.2307/2709362	10.2307/2709362	"Courtly Love": A Problem of Terminology	John C. Moore	Journal of the History of Ideas	40	4	1979-10-01T00:00:00Z	pp. 621-632	University of Pennsylvania Press	fla			
10.2307/25466502	10.2307/25466502	Andrew Henry Garmany Love	Robert Stout	BMJ: British Medical Journal	322	7287	2001-03-17T00:00:00Z	p. 678	BMJ Publishing Group	nws			
10.1086/382627	10.1086/382627	Between Love and Money: Sex, Tourism, and Citizenship in Cuba and the Dominican Republic	Amalia L. Cabezas	Signs	29	4	2004-06-01T00:00:00Z	pp. 987-1015	The University of Chicago Press	fla			
10.2307/23341124	10.2307/23341124	A Love Song	Samartha Vashishtha	Indian Literature	47	4 (216)	2003-07-01T00:00:00Z	pp. 64-65	Sahitya Akademi	fla			
10.2307/27559285	10.2307/27559285	Commentary: Love, Passion, and the Amateur Teacher	Michael C. Loui	College Teaching	54	3	2006-07-01T00:00:00Z	p. 285	Taylor & Francis, Ltd.	mis			
10.1086/524697	10.1086/524697	The Loves of an Anthropologist (Pálsson's <i>Travelling Passions</i>)	Ernest S. Burch Jr.	Current Anthropology	49	2	2008-04-01T00:00:00Z	pp. 348-349	The University of Chicago Press, Wenner-Gren Foundation for Anthropological Research	brv	Travelling Passions: The Hidden Life of Vilhjalmur Stefansson|Gísli  Pálsson		
10.2307/20569684	10.2307/20569684	Love-Songs of the Open Road	Kendall Banning	Poetry	1	4	1913-01-01T00:00:00Z	pp. 110-111	Poetry Foundation	fla			
