KEYTERMS,WEIGHT
boigne,2.0
sindhia,1.20931469
sentimentalist,1.13641758
sentimentalism,1.07058176
letter,1.06998308
perron,1.069949165
chambery,1.068837374
adele,1.06432385
heart,1.04995009
leborgne,1.04806641
benoit,1.04760853
officer,1.04245198
infantry,1.038023654
lucknow,1.038023487
british,1.036740266
affection,1.03519572
dear,1.031226063
love,1.030886794
friendship,1.030444276
india,1.03021198
persian,1.029590068
antoine,1.029568851
brigade,1.028643211
young,1.028303234
mughal,1.027299594
