WORDCOUNTS,WEIGHT
the,39
of,27
and,24
to,20
in,19
s,14
a,13
service,11
schalkwyk,11
as,11
that,10
love,9
this,8
shakespeare,6
who,5
all,5
while,5
both,5
servant,5
relationships,5
is,4
with,4
by,4
which,4
on,4
be,4
he,3
plays,3
cleopatra,3
women,3
toward,3
performance,3
for,3
antony,3
social,3
early,3
much,3
finds,3
master,3
at,2
model,2
critics,2
it,2
been,2
drama,2
how,2
emilia,2
their,2
agency,2
about,2
lear,2
respect,2
itself,2
modern,2
england,2
servants,2
us,2
seriously,2
orders,2
culture,2
othello,2
from,2
most,2
said,2
might,2
are,2
book,2
best,2
could,2
materialist,2
far,2
masters,2
late,2
less,2
applied,2
has,2
king,2
her,2
hierarchies,2
through,2
its,2
tale,2
winter,2
such,2
own,2
interest,2
night,2
marriage,2
study,2
themselves,2
contributes,1
final,1
intimately,1
mimetic,1
titular,1
messy,1
business,1
may,1
whose,1
lovers,1
oriented,1
nonetheless,1
she,1
way,1
act,1
if,1
bold,1
figure,1
linda,1
quickly,1
across,1
overall,1
play,1
notoriously,1
shrew,1
primarily,1
portrayals,1
dimensions,1
players,1
conceptions,1
represented,1
combine,1
analyzes,1
abstraction,1
force,1
manifest,1
expect,1
cracks,1
likewise,1
terms,1
complex,1
replaced,1
one,1
deepest,1
disobeys,1
life,1
positive,1
often,1
specious,1
use,1
examine,1
mankind,1
frank,1
word,1
mediate,1
not,1
authority,1
english,1
ways,1
strictly,1
affective,1
sonnets,1
makes,1
paying,1
serve,1
rationalize,1
affect,1
stronghold,1
circumscribed,1
was,1
or,1
literary,1
section,1
iago,1
traces,1
redemption,1
frequently,1
acknowledging,1
these,1
already,1
four,1
outspoken,1
athens,1
functions,1
experience,1
symbolic,1
only,1
readings,1
mistresses,1
picture,1
conjunctive,1
treats,1
disapproval,1
every,1
more,1
oppression,1
embodiments,1
thesis,1
power,1
mark,1
over,1
evett,1
dependency,1
put,1
kent,1
introducing,1
union,1
illuminate,1
paper,1
impresarios,1
comedy,1
canon,1
idea,1
treatment,1
fundamental,1
conduct,1
scholars,1
together,1
begun,1
display,1
adds,1
follows,1
any,1
sustaining,1
twelfth,1
embodiment,1
take,1
real,1
historical,1
nevertheless,1
audiences,1
enactment,1
faithful,1
men,1
places,1
enough,1
henry,1
everyday,1
witch,1
reading,1
committed,1
within,1
treat,1
them,1
recently,1
renaissance,1
michael,1
depends,1
obedience,1
cannot,1
theoretical,1
vertical,1
judith,1
productively,1
maturity,1
nascent,1
linear,1
urges,1
companionate,1
dream,1
possibility,1
iv,1
patriarchal,1
paulina,1
fluidity,1
reminds,1
chapter,1
emphasis,1
classes,1
enobarbus,1
understanding,1
tempest,1
literature,1
art,1
middle,1
popular,1
narratives,1
made,1
ideal,1
totalizing,1
writers,1
concept,1
elaborates,1
part,1
example,1
dynamic,1
faithfully,1
related,1
herself,1
elizabethan,1
description,1
transition,1
maddening,1
entirely,1
enduring,1
whole,1
compellingly,1
timon,1
blindly,1
challenges,1
people,1
exist,1
actually,1
human,1
structures,1
regarding,1
childhood,1
maintains,1
thus,1
relates,1
throughout,1
employed,1
ultimately,1
until,1
manage,1
argues,1
challenging,1
engender,1
genres,1
moral,1
have,1
manipulation,1
refuse,1
hierarchy,1
errors,1
exerted,1
good,1
instead,1
david,1
although,1
sense,1
like,1
field,1
period,1
parts,1
him,1
unexpected,1
topic,1
regular,1
serves,1
playing,1
complicate,1
scripted,1
earlier,1
conversation,1
midsummer,1
intermingle,1
thornton,1
illuminates,1
intervals,1
mastery,1
morally,1
observation,1
written,1
news,1
allowed,1
responsible,1
dramatic,1
become,1
convey,1
scholarship,1
taming,1
witnessed,1
anderson,1
can,1
burnett,1
when,1
looks,1
unqualified,1
given,1
dependent,1
interaction,1
paid,1
world,1
patrons,1
we,1
than,1
steers,1
simplistic,1
weil,1
theatrical,1
hardly,1
attention,1
roles,1
actions,1
ethically,1
major,1
neill,1
deeper,1
society,1
