WORDCOUNTS,WEIGHT
the,85
of,64
and,55
to,46
her,37
a,36
in,33
s,32
fisher,22
she,19
as,18
that,17
with,17
for,15
was,12
food,11
from,10
reardon,10
who,9
their,9
one,9
about,9
but,9
hesser,9
cooking,9
is,8
many,8
new,8
i,8
on,8
at,7
f,7
it,7
k,7
home,7
women,7
m,7
them,7
not,6
had,6
good,6
life,5
by,5
foods,5
were,5
has,5
julia,5
shapiro,5
this,5
like,5
an,5
be,5
even,5
now,4
york,4
rather,4
how,4
after,4
they,4
lives,4
are,4
more,4
my,4
book,4
herself,4
writing,4
years,4
family,4
written,4
when,4
latte,4
whose,3
child,3
no,3
sexual,3
still,3
literary,3
first,3
over,3
all,3
friedan,3
better,3
men,3
readers,3
what,3
cook,3
books,3
well,3
such,3
three,3
betty,3
into,3
several,3
gastronomic,3
can,3
mr,3
much,3
we,3
than,3
fourteen,2
will,2
amanda,2
me,2
if,2
wrote,2
indeed,2
happy,2
joan,2
others,2
translation,2
gastronomica,2
understand,2
housewives,2
pleasures,2
pp,2
thought,2
serve,2
plus,2
under,2
university,2
us,2
then,2
before,2
w,2
biography,2
most,2
emotional,2
being,2
only,2
volume,2
majority,2
column,2
attempts,2
know,2
decades,2
worked,2
result,2
television,2
whom,2
recipes,2
did,2
could,2
time,2
very,2
friend,2
tad,2
just,2
places,2
outside,2
tv,2
where,2
context,2
list,2
see,2
takes,2
year,2
woman,2
homemaker,2
waters,2
number,2
cloth,2
both,2
made,2
magazine,2
writings,2
little,2
point,2
enormous,2
example,2
convenience,2
daughters,2
our,2
courtship,2
california,2
spring,2
manage,2
reality,2
parrish,2
interest,2
tough,2
scratch,2
working,2
dinner,2
writer,2
france,2
earlier,2
especially,2
marriage,2
d,2
early,2
through,2
given,2
wants,2
salty,2
daughter,2
attacks,1
garnered,1
horror,1
enough,1
does,1
survived,1
therefore,1
effusion,1
laughed,1
san,1
parse,1
voyeurism,1
circle,1
cookbook,1
page,1
lovers,1
juices,1
grumbling,1
mellowed,1
resides,1
without,1
homemade,1
his,1
assiduously,1
contingent,1
sometimes,1
washed,1
sors,1
concede,1
tion,1
troubled,1
pull,1
you,1
lurking,1
generous,1
expand,1
reportorial,1
overall,1
created,1
delighted,1
prose,1
program,1
pieces,1
roast,1
aired,1
might,1
market,1
trials,1
appreciation,1
kind,1
classic,1
brief,1
rapes,1
sagged,1
exists,1
preparing,1
funny,1
intersection,1
alone,1
collections,1
profusion,1
arm,1
sandwich,1
says,1
make,1
rescue,1
got,1
importantly,1
gifts,1
elaborately,1
b,1
large,1
sunday,1
hold,1
hate,1
positive,1
often,1
satisfaction,1
lacking,1
expectations,1
illustrations,1
relationship,1
norton,1
united,1
merged,1
essentials,1
garsubject,1
consequences,1
live,1
pacific,1
table,1
ing,1
flowered,1
mother,1
yet,1
tendencies,1
murder,1
observer,1
instances,1
get,1
inconsistent,1
truffled,1
articles,1
read,1
posthumously,1
moniker,1
romantic,1
interspersed,1
soon,1
notwithstanding,1
mindless,1
combining,1
wanted,1
evolved,1
pepper,1
radcliffe,1
challenged,1
wolf,1
or,1
necessarily,1
attachment,1
revolutionized,1
anthropological,1
image,1
rode,1
seriously,1
workplace,1
sketches,1
aversion,1
panache,1
saviors,1
dressing,1
delight,1
precedence,1
culture,1
prefriend,1
relates,1
gusto,1
following,1
same,1
portentous,1
sojourn,1
refine,1
impact,1
preface,1
mary,1
lished,1
packaged,1
al,1
culled,1
coldness,1
bites,1
already,1
age,1
ve,1
enjoyable,1
two,1
experience,1
chat,1
proclivities,1
processed,1
rise,1
voluminous,1
nutritional,1
dubious,1
way,1
t,1
expose,1
published,1
anchovy,1
love,1
sources,1
specifically,1
worst,1
shrimp,1
lamb,1
few,1
problems,1
text,1
restaurant,1
girlfriend,1
french,1
unreliable,1
chronicles,1
yes,1
other,1
set,1
care,1
helped,1
reticence,1
chaos,1
foire,1
hellmann,1
berkeley,1
death,1
treatment,1
elusive,1
cannon,1
hope,1
responsibilities,1
damaging,1
friends,1
added,1
adolescences,1
garlic,1
tongue,1
conscientious,1
lengthy,1
fact,1
company,1
sociological,1
kennedy,1
progresses,1
questioned,1
europe,1
asserts,1
best,1
backbone,1
confidential,1
quel,1
print,1
warm,1
croutons,1
found,1
creative,1
frances,1
trips,1
husband,1
ners,1
granddaughter,1
dreamed,1
p,1
domestic,1
flimsy,1
orbits,1
post,1
glories,1
eventually,1
collecthis,1
children,1
lived,1
refrigerator,1
shot,1
out,1
larger,1
become,1
never,1
housewife,1
reed,1
end,1
everything,1
doubt,1
sandwiches,1
real,1
childbirth,1
loves,1
harvey,1
there,1
dijon,1
mined,1
last,1
took,1
date,1
yorker,1
dillwyn,1
evoke,1
precisely,1
do,1
beginning,1
learn,1
those,1
bracken,1
staff,1
helping,1
didn,1
political,1
cultural,1
