WORDCOUNTS,WEIGHT
the,211
of,170
and,160
in,88
a,69
to,69
war,48
that,43
s,43
eustace,36
as,33
was,30
american,29
for,29
on,24
new,21
patriotism,20
is,19
by,18
america,17
early,16
it,14
americans,14
republic,14
she,13
emotion,13
national,13
an,13
york,12
emotional,12
love,12
her,12
were,12
honor,12
not,11
with,11
history,11
this,11
but,10
cultural,10
nation,10
manhood,10
united,10
no,9
argues,9
his,9
british,9
ed,8
from,8
rhetoric,8
population,8
indians,8
have,8
expansion,7
their,7
about,7
or,7
had,7
families,7
more,7
also,7
slavery,7
all,7
shows,7
while,7
nationalism,7
white,7
u,7
men,7
them,7
conflict,7
d,7
taylor,7
rights,6
hull,6
indian,6
women,6
only,6
emotions,6
other,6
political,6
see,6
masculinity,6
because,6
chapter,6
both,6
southern,6
review,6
states,6
discourse,6
madison,6
republican,5
patriotic,5
brian,5
life,5
republicans,5
carroll,5
country,5
reproduction,5
culture,5
what,5
r,5
politics,5
part,5
cambridge,5
social,5
family,5
than,5
quarterly,5
at,4
who,4
they,4
one,4
civil,4
university,4
passions,4
mary,4
malthus,4
most,4
ardor,4
power,4
contends,4
lack,4
historians,4
how,4
william,4
are,4
public,4
impressment,4
press,4
journal,4
which,4
against,4
c,4
media,4
james,4
news,4
influence,4
liberty,3
dominant,3
perspectives,3
morrison,3
growth,3
yet,3
depicted,3
rosenwein,3
h,3
citizens,3
sailors,3
romantic,3
thesis,3
n,3
something,3
reddy,3
two,3
important,3
feeling,3
over,3
military,3
england,3
nature,3
elites,3
strength,3
right,3
concludes,3
just,3
last,3
behind,3
supporters,3
johnson,3
citizenship,3
form,3
wartime,3
refuge,3
fox,3
books,3
free,3
sexual,3
made,3
even,3
imagined,3
ill,3
became,3
gender,3
freedom,3
democratic,3
arguments,3
argument,3
such,3
interest,3
creating,3
would,3
so,3
revolution,3
played,3
especially,3
blacks,3
marriage,3
relation,3
effect,3
telling,3
including,3
constructions,3
race,3
barbara,2
fails,2
thomas,2
south,2
huntington,2
he,2
second,2
philadelphia,2
wives,2
critics,2
crevay,2
territorial,2
masculinities,2
various,2
if,2
later,2
bring,2
irish,2
meaning,2
l,2
bicentennial,2
commitment,2
elliot,2
hegemonic,2
revolutionary,2
male,2
independence,2
e,2
success,2
community,2
navigation,2
benedict,2
large,2
britain,2
construction,2
principle,2
once,2
communities,2
library,2
expansionism,2
precious,2
continent,2
interpretation,2
support,2
studies,2
allgor,2
perceptions,2
many,2
ardent,2
fought,2
sex,2
orleans,2
seeing,2
policy,2
claims,2
western,2
perceived,2
champaign,2
allies,2
cass,2
edition,2
historian,2
these,2
dolley,2
first,2
origins,2
regime,2
supported,2
party,2
subjects,2
lewis,2
ethnic,2
m,2
give,2
detroit,2
europe,2
alan,2
reflections,2
backcountry,2
j,2
uses,2
consideration,2
did,2
could,2
cloak,2
any,2
out,2
scholars,2
book,2
past,2
propaganda,2
serious,2
ages,2
further,2
captivity,2
though,2
formation,2
behavior,2
reproduce,2
lands,2
celebrated,2
michael,2
calif,2
making,2
case,2
norms,2
maintain,2
perhaps,2
unchecked,2
biographies,2
nicole,2
torn,2
well,2
trade,2
vol,2
up,2
used,2
popular,2
cutts,2
richard,2
slaves,2
romanticism,2
little,2
london,2
vision,2
territory,2
significant,2
use,2
describe,2
during,2
policies,2
discussion,2
rebels,2
ideas,2
human,2
central,2
like,2
thus,2
our,2
historical,2
gorn,2
sees,2
evidence,2
ultimately,2
rejected,2
years,2
class,2
moral,2
samuel,2
catherine,2
imperative,2
essay,2
peter,2
forgotten,2
instead,2
include,2
land,2
