WORDCOUNTS,WEIGHT
the,539
of,332
and,319
in,195
to,169
a,150
her,95
for,91
was,87
as,74
women,70
love,60
s,59
she,59
not,58
marriage,57
is,57
generation,55
this,55
social,55
their,54
by,52
were,52
with,52
family,51
at,48
or,47
on,43
camp,39
that,38
palestinian,36
camps,36
jordan,35
i,34
from,34
it,33
they,32
had,32
married,31
most,30
have,29
between,28
these,27
also,27
political,26
he,26
but,26
did,26
been,25
husband,24
one,23
more,23
when,22
are,22
families,22
his,21
time,21
see,21
which,21
who,21
my,20
palestine,20
life,20
conjugal,19
third,19
before,18
after,18
an,17
jordanian,17
be,17
first,16
marry,16
percent,16
all,15
some,15
than,15
we,15
role,15
national,15
exile,14
only,14
me,14
about,13
men,13
where,13
years,13
has,13
studies,12
age,12
resistance,12
economic,12
two,12
matrimonial,12
honor,12
especially,12
protection,11
relations,11
university,11
personal,11
movement,11
education,11
often,11
born,11
marriages,11
celibacy,11
since,10
author,10
them,10
perceived,10
father,10
uncle,10
him,10
re,10
bride,9
within,9
such,9
hussein,9
young,9
even,9
journal,9
no,9
generations,9
study,9
unions,9
during,9
abdallah,9
choice,9
paris,9
interview,9
bond,9
like,9
latte,9
both,9
contributed,9
umm,9
history,8
being,8
later,8
de,8
sister,8
emergence,8
out,8
mainly,8
gender,8
fugie,8
status,8
spouses,8
couple,8
same,8
choices,8
jabal,8
divorce,8
new,8
can,8
seen,8
through,8
press,8
conditions,8
group,7
refugee,7
thus,7
how,7
palestiniennes,7
wanted,7
lived,7
though,7
value,7
activities,7
will,7
practices,7
children,7
man,7
outside,7
do,7
origin,7
made,7
identity,7
saw,7
relationship,7
began,7
es,7
couples,7
femmes,7
became,7
given,7
traditional,7
if,6
village,6
husbands,6
other,6
together,6
there,6
those,6
networks,6
impact,6
fourth,6
war,6
lebanon,6
statistics,6
small,6
wife,6
second,6
maher,6
still,6
single,6
pp,6
power,6
again,6
wedding,6
previous,6
individual,6
so,6
become,6
story,6
school,6
over,6
half,6
what,6
although,6
early,6
way,5
affected,5
ıda,5
military,5
daughters,5
emotion,5
context,5
system,5
account,5
point,5
decided,5
left,5
arab,5
marital,5
without,5
l,5
parents,5
special,5
house,5
article,5
result,5
based,5
could,5
changed,5
activist,5
part,5
loss,5
collective,5
et,5
fieldwork,5
own,5
least,5
revolution,5
militant,5
feelings,5
generally,5
led,5
gaza,5
female,5
community,5
yet,5
violence,5
rise,5
individualization,5
lack,5
took,5
marrying,5
less,5
values,5
jerash,5
chosen,5
inhabitants,5
expectations,5
