WORDCOUNTS,WEIGHT
the,733
of,435
and,327
in,208
to,196
a,164
that,120
woodhull,94
was,88
as,87
for,79
by,77
with,69
her,61
s,56
she,53
be,52
body,51
is,51
from,51
on,51
had,50
it,41
an,39
this,37
not,37
were,36
or,35
love,35
would,35
american,34
spiritualism,32
disease,32
dead,31
free,30
all,28
their,28
but,28
his,27
will,27
health,26
at,25
religion,24
new,23
who,23
heaven,22
its,22
which,22
victoria,22
one,21
women,21
davis,21
many,21
are,21
soul,20
more,20
life,20
when,19
utopia,18
america,18
earth,18
society,18
spirits,18
press,18
between,18
state,17
into,17
sex,17
culture,17
have,16
marriage,15
both,15
sexual,14
human,14
even,14
spirit,14
he,14
movement,14
god,14
these,14
spiritualist,14
so,13
york,13
university,13
could,13
community,13
death,13
see,13
after,13
been,13
other,12
against,12
millennium,12
spiritualists,12
than,12
rather,12
them,12
however,12
medicine,12
two,12
only,12
speech,12
freedom,12
they,11
spiritual,11
return,11
social,11
where,11
living,11
through,11
city,11
being,10
medical,10
century,10
no,10
elixir,10
religious,10
about,10
time,10
woman,10
ibid,10
made,10
use,10
without,9
how,9
called,9
public,9
people,9
progress,9
herself,9
physical,9
what,9
while,9
sexuality,9
i,8
some,8
magnetic,8
since,8
noyes,8
n,8
frequently,8
most,8
brought,8
own,8
oneida,8
reform,8
cure,8
years,8
can,8
magnetism,8
phrenology,8
animal,8
cause,8
became,8
you,8
jackson,7
has,7
politics,7
thus,7
andrew,7
advocated,7
fluid,7
shall,7
ignorance,7
christianity,7
provided,7
wrote,7
mainstream,7
also,7
rhetoric,7
individual,7
movements,7
any,7
over,7
audience,7
coming,7
much,7
among,7
millennial,6
common,6
perfection,6
system,6
trance,6
patient,6
rights,6
legal,6
age,6
weekly,6
we,6
world,6
scientific,6
men,6
do,6
discord,6
day,6
writings,6
like,6
claflin,6
control,6
did,6
very,6
bodies,6
suffrage,6
hydropathy,6
association,6
way,5
later,5
religions,5
alone,5
history,5
before,5
first,5
either,5
heavens,5
principles,5
normative,5
laws,5
married,5
such,5
lectures,5
relations,5
back,5
delivered,5
sisters,5
perfect,5
may,5
mesmerism,5
argued,5
union,5
based,5
out,5
cultural,5
cannot,5
your,5
knowledge,5
several,5
up,5
ghost,5
improper,5
under,5
same,5
ed,5
already,5
members,5
law,5
afterlife,5
others,5
fact,5
john,5
birth,5
upon,5
including,5
increasing,5
vision,5
mediums,5
often,5
blood,5
itself,5
claims,5
then,5
person,5
product,5
philosophy,5
views,5
if,4
therefore,4
princeton,4
prostitute,4
long,4
immortal,4
there,4
mind,4
mediumship,4
mesmer,4
mutual,4
repeatedly,4
monogamy,4
nor,4
extraordinary,4
sin,4
harbinger,4
war,4
slavery,4
centered,4
responded,4
just,4
result,4
radical,4
fox,4
eliminate,4
because,4
well,4
future,4
used,4
reader,4
concept,4
gave,4
healing,4
change,4
responsibility,4
wished,4
generally,4
proper,4
believers,4
equality,4
stirpiculture,4
fire,4
name,4
toward,4
water,4
communal,4
arthur,4
forms,4
newspaper,4
model,4
practice,4
books,4
remained,4
discourses,4
discussion,4
