WORDCOUNTS,WEIGHT
the,56
of,44
a,31
to,26
and,25
we,18
not,17
that,17
in,17
is,16
he,13
this,13
as,11
songs,11
it,10
by,9
these,9
which,9
his,9
would,9
an,9
but,8
are,8
s,8
schumann,7
one,7
with,7
have,7
singer,6
they,6
was,6
here,6
words,6
woman,6
be,6
love,5
however,5
problem,5
has,5
say,5
song,5
much,5
cycle,5
no,4
if,4
wrote,4
life,4
most,4
might,4
musical,4
do,4
poems,4
thoughts,4
real,4
girl,3
who,3
utterances,3
read,3
forget,3
us,3
or,3
many,3
man,3
though,3
intimate,3
its,3
expression,3
guilty,3
vocal,3
think,3
music,3
reality,3
t,3
him,3
things,3
mind,3
about,3
at,2
critics,2
now,2
she,2
rather,2
aim,2
their,2
interpretation,2
thought,2
into,2
wouldn,2
any,2
before,2
same,2
series,2
from,2
meaningless,2
simply,2
composer,2
unreal,2
artistic,2
down,2
sung,2
able,2
very,2
sensible,2
i,2
brahms,2
may,2
stupid,2
them,2
nature,2
existence,2
strauss,2
felt,2
some,2
work,2
little,2
unfortunately,2
ideas,2
come,2
were,2
write,2
good,2
course,2
like,2
so,2
poet,2
you,2
difficulty,2
impossible,2
can,2
inartistic,2
should,2
will,1
suggest,1
overromantic,1
interesting,1
mostly,1
done,1
me,1
hopes,1
without,1
way,1
bars,1
waltz,1
concerned,1
later,1
purely,1
been,1
musicthe,1
medium,1
ready,1
truth,1
return,1
introductions,1
brief,1
nearly,1
operation,1
worthy,1
implies,1
mean,1
dimensions,1
johannes,1
abnormal,1
alone,1
deliberately,1
strongly,1
make,1
recitals,1
expanded,1
similar,1
certain,1
reflection,1
why,1
qualms,1
positive,1
study,1
often,1
pianoforte,1
impressed,1
sister,1
spoken,1
dismiss,1
bach,1
darke,1
yet,1
overstrung,1
exceptional,1
face,1
album,1
easily,1
unusual,1
conscious,1
grove,1
nicht,1
neither,1
benefits,1
unlike,1
share,1
curious,1
thinking,1
harold,1
something,1
add,1
document,1
finest,1
being,1
said,1
friend,1
forgetting,1
sit,1
only,1
communicative,1
either,1
picture,1
objects,1
generally,1
every,1
glimpse,1
more,1
lucid,1
asks,1
also,1
aspect,1
werber,1
fleshly,1
set,1
implications,1
give,1
important,1
others,1
deserves,1
similarly,1
put,1
niecks,1
all,1
stamp,1
suitors,1
had,1
opening,1
accompanist,1
fact,1
hearing,1
shows,1
for,1
idea,1
interested,1
sing,1
did,1
specially,1
advantage,1
cornhill,1
critic,1
accompanied,1
printed,1
desire,1
remark,1
regard,1
solved,1
immodest,1
speech,1
then,1
time,1
admittedly,1
particularly,1
lover,1
underneath,1
larger,1
deal,1
lanner,1
aloud,1
reply,1
hear,1
chamisso,1
prevents,1
sought,1
away,1
hasn,1
there,1
philosophical,1
passionate,1
living,1
type,1
rhythms,1
better,1
turned,1
written,1
those,1
principal,1
knows,1
understood,1
what,1
gramophone,1
afforded,1
singing,1
terms,1
form,1
michael,1
answer,1
cannot,1
suffered,1
takes,1
shout,1
dr,1
mortal,1
perhaps,1
absolute,1
recorded,1
compelled,1
st,1
extent,1
dream,1
counterpart,1
her,1
parlophone,1
spontaneity,1
saying,1
because,1
another,1
thousands,1
almost,1
orchestral,1
ideal,1
r,1
marked,1
unutterable,1
coherent,1
weird,1
mir,1
both,1
blue,1
effervescent,1
bear,1
son,1
admired,1
decent,1
logical,1
psychological,1
part,1
altogether,1
example,1
comment,1
giving,1
songsupon,1
die,1
subject,1
lies,1
got,1
intensifying,1
happens,1
genuine,1
tale,1
during,1
place,1
dress,1
recognised,1
assume,1
aesthetics,1
records,1
johann,1
leider,1
human,1
regarding,1
actual,1
slight,1
thus,1
merit,1
mccolvin,1
personal,1
emmy,1
shown,1
inquiries,1
theme,1
exceedingly,1
such,1
recent,1
own,1
lionel,1
since,1
attend,1
express,1
utter,1
danube,1
wish,1
solution,1
raises,1
evening,1
recitations,1
period,1
need,1
bettendorf,1
autumn,1
mild,1
piece,1
finesse,1
disembodied,1
presenting,1
expressing,1
recital,1
several,1
accuse,1
sneers,1
characteristics,1
refer,1
especially,1
few,1
state,1
accomplished,1
remarking,1
six,1
presence,1
young,1
gushing,1
dannreuther,1
usual,1
exactly,1
expressiveness,1
heighten,1
mechanical,1
find,1
partial,1
create,1
when,1
reproduction,1
probably,1
suitability,1
element,1
even,1
consequently,1
given,1
than,1
shadowless,1
beauty,1
famous,1
himself,1
workings,1
enjoy,1
von,1
