WORDCOUNTS,WEIGHT
the,560
of,273
to,265
that,241
a,227
in,221
and,211
is,191
she,139
not,111
was,108
her,103
it,99
divorce,97
for,87
i,80
be,77
this,76
an,74
as,67
get,67
would,61
he,58
if,57
because,57
or,57
from,53
by,52
husband,52
h,49
woman,48
even,47
there,45
on,44
but,43
his,42
who,42
with,42
r,40
s,35
we,35
had,33
see,33
such,32
time,32
no,31
have,31
so,31
marriage,30
are,30
marry,30
said,29
case,29
agunah,28
they,27
did,26
which,26
at,25
me,25
conditional,24
wife,24
all,23
has,23
our,23
after,23
t,22
what,22
years,22
were,21
one,20
also,20
according,20
my,19
law,19
might,18
ha,18
akham,18
amatla,18
jewish,18
witnesses,18
you,18
your,17
can,17
levirate,17
bt,17
say,16
reason,16
four,16
only,16
ezer,16
does,15
e,15
before,15
divorced,15
custom,15
some,15
since,15
jerusalem,15
out,15
will,15
rabbi,15
do,15
been,15
lost,15
should,15
court,14
responsum,14
than,14
their,14
when,14
about,14
now,13
permitted,13
condition,13
other,13
written,13
into,12
married,12
word,12
testimony,12
legal,12
around,12
am,12
speaking,12
more,12
man,12
him,12
note,12
then,12
any,12
believed,12
given,12
subject,12
question,12
responsa,12
remarry,11
women,11
laws,11
ketubot,11
could,11
therefore,11
love,11
men,11
torah,11
known,11
whether,11
being,10
first,10
those,10
cases,10
radbaz,10
used,10
israel,10
where,10
considered,10
practice,10
know,10
statement,10
must,10
specified,9
sent,9
sages,9
may,9
rather,9
ashkenazi,9
further,9
claim,9
situation,9
debby,9
wait,9
pp,9
under,9
two,9
spain,9
perhaps,9
gittin,9
why,9
koren,9
both,9
nashim,9
course,9
mouth,8
jews,8
every,8
brother,8
jacob,8
university,8
days,8
passed,8
found,8
however,8
gave,8
messenger,8
avoid,8
wrote,8
make,8
these,8
mishnah,8
until,8
made,8
effect,8
them,8
come,8
between,8
go,7
told,7
eliezer,7
permit,7
chapter,7
learned,7
writ,7
century,7
times,7
details,7
yitzh,7
whose,7
elazar,7
ak,7
absolute,7
literature,7
its,7
status,7
lit,7
matter,7
betrothed,7
communities,7
another,7
maimonides,7
language,7
david,7
like,7
igun,7
claims,7
benefit,7
later,6
widow,6
princeton,6
either,6
words,6
ben,6
g,6
unconditional,6
without,6
afterwards,6
ordinance,6
ah,6
opinion,6
greater,6
though,6
torn,6
akhamim,6
basis,6
presumption,6
society,6
absence,6
alitzah,6
return,6
stated,6
release,6
hand,6
discussion,6
levir,6
herself,6
clear,6
moses,6
sefer,6
historical,6
places,6
ill,6
press,6
evidence,6
c,6
erred,6
common,5
medieval,5
deut,5
truth,5
incipit,5
second,5
anything,5
take,5
tokh,5
actual,5
stipulated,5
left,5
died,5
halakhic,5
how,5
baba,5
thing,5
leave,5
means,5
came,5
based,5
critically,5
p,5
appears,5
cannot,5
example,5
during,5
event,5
several,5
decisors,5
poland,5
forbidden,5
above,5
says,5
many,5
kedei,5
new,5
free,5
ashkenaz,5
expression,5
decreed,5
tzitz,5
saying,5
want,5
went,5
conditions,5
land,5
yeh,5
alutz,5
among,5
ruling,4
way,4
sandal,4
roman,4
give,4
talmud,4
within,4
suspect,4
teacher,4
due,4
turn,4
abi,4
shall,4
poor,4
hilkhot,4
send,4
nor,4
established,4
clearly,4
elsewhere,4
outset,4
received,4
brought,4
call,4
personal,4
change,4
sense,4
family,4
always,4
up,4
iel,4
improper,4
makes,4
neither,4
same,4
al,4
already,4
death,4
took,4
rabbinic,4
mamluk,4
grounds,4
certain,4
divorces,4
debauch,4
heikhal,4
article,4
dibur,4
herzog,4
traveled,4
life,4
centuries,4
here,4
principle,4
tear,4
very,4
number,4
living,4
following,4
making,4
eretz,4
require,4
don,4
die,4
using,4
ibn,4
cambridge,4
write,4
d,4
zimra,4
courts,3
done,3
concerned,3
meaning,3
commentary,3
introduction,3
needed,3
ma,3
studies,3
num,3
arrived,3
long,3
nature,3
europe,3
reasons,3
invalid,3
context,3
system,3
yevamot,3
translations,3
sixteenth,3
author,3
rapoport,3
document,3
goitein,3
find,3
apparently,3
divorcee,3
ba,3
rav,3
myself,3
responded,3
remote,3
b,3
distant,3
edition,3
house,3
expulsion,3
citrons,3
testify,3
questioner,3
conquest,3
closely,3
rule,3
called,3
term,3
war,3
perform,3
judicial,3
preferred,3
part,3
gender,3
got,3
place,3
away,3
couple,3
won,3
someone,3
delivered,3
things,3
mediterranean,3
mamzerim,3
notes,3
mishneh,3
takanah,3
still,3
yosef,3
single,3
yet,3
light,3
posek,3
name,3
solomon,3
children,3
relevant,3
ibid,3
intent,3
prohibition,3
hers,3
concern,3
refers,3
nevertheless,3
provides,3
k,3
isn,3
opinions,3
offspring,3
ishut,3
separate,3
kiddushin,3
reasonable,3
support,3
months,3
tractate,3
authorities,3
prohibited,3
circumstances,3
each,3
drown,3
brothers,3
contradictory,3
rely,3
widowed,3
knows,3
didn,3
fled,3
while,3
aver,3
agreed,3
suspicion,3
mishnaic,3
sea,3
city,3
intended,3
maintained,3
unconditionally,3
tell,3
argument,3
difference,3
fourteenth,3
samuel,3
accept,3
include,3
need,3
batra,3
removed,3
mamlu,3
testified,3
immediately,3
unseemly,3
asked,3
mistaken,3
difficult,2
corrects,2
dies,2
henkin,2
everyone,2
alone,2
seder,2
annulment,2
referring,2
modern,2
locale,2
geniza,2
source,2
qualification,2
maggid,2
spit,2
hapardes,2
tosafist,2
promissory,2
eliya,2
certainly,2
fifteenth,2
excommunication,2
taken,2
refusal,2
absurd,2
rumor,2
accompanied,2
great,2
indeed,2
procedure,2
hanna,2
respond,2
tzvi,2
widowhood,2
circumvent,2
takes,2
portugal,2
money,2
discontent,2
deliberated,2
jps,2
point,2
far,2
cited,2
himself,2
letter,2
regarding,2
thus,2
realized,2
facet,2
application,2
assessment,2
rabbis,2
moslem,2
expected,2
ai,2
maintaining,2
old,2
amount,2
contrary,2
response,2
arranged,2
look,2
marital,2
bayit,2
adequate,2
york,2
absent,2
hana,2
permission,2
knew,2
goes,2
tel,2
heard,2
expelled,2
witness,2
itur,2
consequences,2
hakadmon,2
soon,2
wanted,2
veshovero,2
haradbaz,2
wouldn,2
presumably,2
just,2
too,2
presumed,2
most,2
commonly,2
demai,2
isserles,2
tikkun,2
plight,2
important,2
haturim,2
sultanate,2
view,2
disappeared,2
uses,2
questioned,2
yossef,2
beit,2
kohen,2
events,2
im,2
cancellation,2
understood,2
viewed,2
scrutinize,2
otherwise,2
property,2
work,2
routinely,2
ten,2
intentionally,2
year,2
fit,2
issues,2
people,2
employed,2
betrothal,2
holy,2
citing,2
anina,2
least,2
below,2
le,2
settlement,2
distinguished,2
usual,2
jordan,2
paid,2
world,2
preferable,2
plausible,2
proxy,2
stronger,2
requirement,2
exile,2
prove,2
community,2
collect,2
double,2
read,2
happened,2
thought,2
god,2
us,2
adash,2
sociological,2
ketubah,2
krochmal,2
social,2
gotten,2
others,2
stating,2
ask,2
fact,2
terminating,2
eidels,2
creative,2
documents,2
ought,2
nissim,2
end,2
vilna,2
doubt,2
honor,2
aviv,2
enough,2
learn,2
soferim,2
empire,2
accepted,2
less,2
spoke,2
material,2
reflected,2
metzia,2
shulh,2
cancels,2
examples,2
considering,2
background,2
lands,2
erem,2
explanation,2
gad,2
mired,2
solemn,2
use,2
bialik,2
unfortunately,2
questions,2
sees,2
described,2
three,2
reputation,2
period,2
spread,2
arukh,2
collected,2
latter,2
oza,2
become,2
declare,2
contracts,2
waldenberg,2
decision,2
suggestion,2
today,2
replied,2
claimed,2
referred,2
translation,2
tearing,2
sheds,2
respect,2
mentioned,2
worse,2
contradiction,2
over,2
remarried,2
attribute,2
asher,2
connection,2
exploration,2
remarrying,2
believe,2
regard,2
compliance,2
ar,2
imo,2
waldman,2
placing,2
type,2
retroactively,2
abraham,2
particular,2
suspicions,2
leaving,2
scrupulous,2
institute,2
lenient,2
tzemah,2
marriages,2
travel,2
translated,2
remember,2
presented,2
met,2
wording,2
adulteress,2
impose,2
voyage,2
elapse,2
relates,2
unilateral,2
contract,2
kol,2
revolves,2
lamdan,2
states,2
defined,2
supported,2
tribes,2
early,2
goldish,2
jtsa,2
teshuvot,2
uk,2
priestly,2
recent,2
tzedek,2
built,2
woven,1
tannaitic,1
avraham,1
o,1
waltham,1
fathers,1
yeshayah,1
prefer,1
sins,1
invalidated,1
avoiding,1
implying,1
maharsha,1
pull,1
hesitation,1
suggested,1
commitment,1
rif,1
dangers,1
sefardi,1
rhine,1
alfasi,1
totally,1
expect,1
everybody,1
contemporaneous,1
becoming,1
complex,1
rimzei,1
instructions,1
fate,1
enhance,1
live,1
alive,1
english,1
irrespective,1
jonathan,1
kohanim,1
ardent,1
yed,1
halakhot,1
acceptance,1
trace,1
devices,1
speedily,1
poskim,1
exonerates,1
supposing,1
history,1
presents,1
occurred,1
em,1
holding,1
observing,1
husbands,1
vehemently,1
something,1
oaths,1
nice,1
experience,1
har,1
consistent,1
beneficial,1
undermine,1
humble,1
concur,1
reappear,1
originally,1
freehof,1
enforceable,1
location,1
attempt,1
rare,1
beautiful,1
england,1
seems,1
departure,1
definition,1
parties,1
sidrei,1
divinity,1
book,1
together,1
able,1
invalidate,1
introduces,1
gaon,1
converts,1
excuses,1
faskh,1
umishpat,1
concepts,1
eleventh,1
opposite,1
reading,1
magid,1
livelihood,1
papers,1
ad,1
join,1
empty,1
grossman,1
considerate,1
protagonists,1
eastern,1
east,1
katan,1
urbach,1
sought,1
bases,1
u,1
iv,1
hirsch,1
right,1
terumat,1
mah,1
avodah,1
hinder,1
wonders,1
discrepancies,1
possible,1
fighter,1
elisheva,1
afterward,1
obvious,1
leniency,1
fine,1
whatever,1
except,1
mistakenly,1
desirable,1
basmak,1
along,1
enter,1
appease,1
ritual,1
baraita,1
halevy,1
prevented,1
deserted,1
collection,1
sign,1
medina,1
expanded,1
isserlein,1
central,1
goal,1
err,1
accessible,1
throughout,1
review,1
decree,1
mine,1
attest,1
tolosa,1
fifteenthcentury,1
silent,1
de,1
pentateuch,1
agent,1
exiled,1
intact,1
interest,1
hadorot,1
moment,1
decided,1
honest,1
occurs,1
vanguard,1
cf,1
zuckermandel,1
pay,1
gerona,1
adam,1
rabbeinu,1
wail,1
perspective,1
crosses,1
refer,1
rishonim,1
back,1
six,1
abba,1
