WORDCOUNTS,WEIGHT
the,665
of,400
and,285
to,239
in,187
a,171
her,154
s,143
thandeka,73
that,66
is,63
with,63
as,60
by,55
for,51
film,49
she,47
his,44
on,44
memory,41
an,39
past,39
who,36
from,36
dineo,35
love,32
i,29
which,29
letter,28
zulu,28
also,27
apartheid,27
has,26
their,26
me,24
truth,23
langer,23
but,23
are,23
between,23
this,22
south,22
victim,21
trc,21
daughter,21
into,20
traumatic,20
its,20
when,20
time,20
present,20
not,20
forgiveness,19
moral,19
testimonials,19
african,18
political,17
will,17
he,17
reconciliation,17
see,16
tau,16
at,15
it,15
murder,15
viewer,15
human,15
new,15
mother,15
films,14
only,14
simangaliso,14
print,14
even,13
we,13
audience,13
pain,13
through,13
now,12
car,12
scene,12
experiences,12
more,12
africa,12
visual,12
have,12
before,11
victims,11
thus,11
witness,11
my,11
sense,11
peterson,11
or,11
herself,11
holocaust,11
what,11
while,11
police,10
one,10
experience,10
such,10
body,10
testimony,10
loss,10
night,10
up,10
violence,10
these,10
towards,10
them,10
perpetrator,10
be,10
mike,9
other,9
aesthetic,9
those,9
whose,9
space,9
had,9
story,9
life,9
flashbacks,9
need,9
if,8
narrative,8
maingard,8
marx,8
activist,8
walk,8
however,8
marie,8
own,8
presence,8
research,8
about,8
death,8
literatures,8
number,8
can,8
relationship,8
often,8
role,8
unable,8
kruger,8
instead,8
former,7
portrayal,7
some,7
ability,7
back,7
notion,7
volume,7
inability,7
protagonist,7
efforts,7
camera,7
understanding,7
black,7
responsible,7
here,7
over,7
trauma,7
krog,7
child,6
beatings,6
they,6
character,6
history,6
kock,6
there,6
physical,6
flashback,6
hirsch,6
against,6
de,6
how,6
cinema,6
white,6
perpetrators,6
anguish,6
testify,6
out,6
events,6
compromised,6
politically,6
still,6
security,6
sounds,6
two,6
act,6
power,6
woman,6
original,6
faces,6
so,6
him,6
cinematic,6
alex,6
dhlamini,6
been,6
itself,6
then,6
khubeka,6
know,6
country,6
commission,6
remains,6
morally,6
prison,6
does,5
limits,5
extends,5
victimization,5
complex,5
ramadan,5
first,5
all,5
dir,5
behavior,5
since,5
moment,5
self,5
young,5
landscape,5
process,5
was,5
image,5
cell,5
compassion,5
further,5
though,5
cannot,5
public,5
failure,5
psychological,5
knowledge,5
during,5
personal,5
responsibility,5
order,5
yet,5
ellipsis,5
us,5
no,5
journalist,5
emotions,5
hand,5
learn,5
where,5
encounters,5
repeated,5
guilt,5
suleman,5
justice,5
share,5
circumstances,5
hospital,5
suggests,5
church,5
challenges,5
characters,5
images,5
representational,5
perception,5
conflicting,4
red,4
guma,4
live,4
being,4
attempts,4
atrocities,4
context,4
modernist,4
far,4
accessible,4
perspective,4
witnessed,4
gaze,4
than,4
sister,4
dust,4
walls,4
added,4
floor,4
beyond,4
view,4
opening,4
search,4
mamdani,4
scenes,4
relate,4
appears,4
screenplay,4
opportune,4
genre,4
explains,4
people,4
officers,4
away,4
social,4
family,4
acts,4
convey,4
philips,4
surviving,4
choices,4
dube,4
subjective,4
journey,4
together,4
man,4
do,4
execution,4
shifts,4
divided,4
father,4
were,4
language,4
wits,4
mourning,4
become,4
mcgonegal,4
looks,4
la,4
bhekizizwe,4
recognizes,4
lawrence,4
analysis,4
blurred,4
continues,4
regime,4
willingness,4
johannesburg,4
save,4
extent,4
disability,4
transition,4
removed,4
entire,4
difficult,3
democracy,3
struggle,3
ethics,3
represent,3
extreme,3
implies,3
agency,3
authority,3
western,3
vocabulary,3
painful,3
member,3
forgive,3
expands,3
address,3
testimonies,3
official,3
possibilities,3
mind,3
state,3
behind,3
fuck,3
employs,3
felt,3
politics,3
ethical,3
dissidents,3
mental,3
point,3
khumalo,3
coetzee,3
adonis,3
audio,3
assassins,3
refuses,3
third,3
look,3
terror,3
boorman,3
rights,3
reflects,3
dilemma,3
bring,3
main,3
activists,3
assassination,3
persistent,3
importance,3
gesture,3
documentaries,3
feel,3
front,3
understand,3
antjie,3
physically,3
house,3
witnessing,3
four,3
most,3
always,3
preference,3
appear,3
whom,3
inherent,3
recognize,3
cuts,3
qtd,3
suffered,3
tension,3
breathing,3
possibility,3
undermined,3
having,3
narratives,3
london,3
assassin,3
texture,3
intensifies,3
systematic,3
healing,3
level,3
working,3
anger,3
empathetic,3
next,3
event,3
long,3
around,3
feelings,3
protect,3
am,3
actions,3
threatened,3
holds,3
gabriel,3
labeled,3
collide,3
movement,3
labored,3
once,3
criticism,3
interpretation,3
read,3
evil,3
under,3
postapartheid,3
skin,3
memories,3
already,3
emotional,3
fellow,3
others,3
break,3
john,3
never,3
tell,3
forth,3
style,3
encounter,3
intimate,3
subjectivity,3
limitations,3
culpability,3
formal,3
aesthetics,3
archive,3
like,3
would,3
unsettled,3
after,3
provides,3
imagination,3
especially,3
written,3
article,3
imaginative,3
effect,3
kaplan,3
translation,3
examine,3
hope,3
confronts,3
face,3
echoes,3
disjointed,3
beside,3
temporal,3
different,3
down,3
amplified,3
born,3
reproduce,3
reconcile,3
listen,3
peters,3
emphasis,3
both,3
remember,3
policeman,3
content,3
returning,3
acute,3
allows,3
until,3
generate,3
institutional,3
national,3
register,3
although,3
you,3
colleagues,3
off,3
themselves,3
beadwork,3
much,3
recent,3
frequent,2
impossibility,2
prefer,2
survivors,2
