WORDCOUNTS,WEIGHT
the,516
of,328
and,312
in,242
to,216
a,183
is,173
e,133
s,129
that,116
are,98
for,82
by,82
as,73
it,70
her,68
their,64
women,63
on,61
they,57
this,56
not,56
men,53
with,51
his,47
be,47
but,46
i,42
she,40
have,39
fletcher,38
all,36
voyage,35
play,34
sea,34
he,33
which,33
who,33
sexual,32
at,31
was,29
man,28
has,26
more,26
from,26
nature,25
than,25
most,25
island,24
when,24
or,23
clarinda,22
human,21
love,21
him,21
see,21
massinger,20
so,20
an,20
while,20
both,20
no,19
one,18
ed,18
other,18
d,18
albert,17
also,17
woman,17
press,17
humans,16
university,16
sex,16
even,15
we,15
over,15
humankind,14
into,14
nor,14
had,14
p,14
would,14
them,14
ey,13
rather,13
its,13
world,13
oxford,13
pp,13
us,13
these,13
two,13
only,13
new,13
prospero,13
animal,13
shakespeare,13
between,13
o,12
being,12
er,12
such,12
whose,12
animals,12
my,12
further,12
work,12
commonwealth,12
where,12
made,12
like,12
can,12
sexuality,12
though,11
equally,11
john,11
renaissance,11
upon,11
genesis,11
what,11
characters,11
desire,10
there,10
without,10
london,10
sexually,10
will,10
noble,10
about,10
sebastian,10
another,10
plays,10
male,10
beasts,10
any,10
our,10
portuguese,9
way,9
first,9
may,9
en,9
your,9
place,9
rosellia,9
neither,9
classical,9
you,9
order,9
here,9
tempest,9
through,9
if,8
modern,8
arden,8
king,8
called,8
out,8
part,8
been,8
do,8
hunters,8
sexes,8
then,8
beast,8
must,8
natural,8
omas,8
much,8
beings,8
crocale,8
authority,7
creation,7
later,7
hippolita,7
some,7
english,7
how,7
reason,7
base,7
example,7
mcmullan,7
own,7
sense,7
above,7
once,7
same,7
power,7
end,7
less,7
princess,7
never,7
horse,7
me,7
series,7
each,7
works,7
terms,7
early,7
does,6
trans,6
every,6
able,6
ough,6
account,6
point,6
himself,6
divine,6
response,6
act,6
too,6
pity,6
rule,6
because,6
used,6
t,6
earth,6
dramatic,6
manchester,6
up,6
indeed,6
again,6
female,6
depicted,6
reference,6
quotations,6
name,6
head,6
antonio,6
demonstrated,6
were,6
attention,6
seen,6
life,6
dead,6
set,6
miranda,6
merely,6
race,6
now,5
studies,5
spirit,5
either,5
vols,5
great,5
very,5
brother,5
young,5
hamlet,5
humanity,5
references,5
image,5
edition,5
ignoble,5
bestial,5
whom,5
shall,5
placed,5
dias,5
calls,5
people,5
call,5
taken,5
culture,5
hunger,5
heterosexual,5
addition,5
many,5
fact,5
remarks,5
creature,5
significant,5
nausicaa,5
comic,5
ovid,5
amoret,5
land,5
need,5
potential,5
themselves,5
given,5
traditional,5
ruy,5
should,5
ending,4
proud,4
quickly,4
highly,4
title,4
chastity,4
specifically,4
give,4
england,4
follows,4
faithful,4
shepherd,4
henry,4
those,4
politics,4
isle,4
virginity,4
lover,4
old,4
times,4
find,4
drawn,4
montaigne,4
explicitly,4
spectators,4
river,4
air,4
aminta,4
companions,4
greater,4
eir,4
found,4
strength,4
promise,4
however,4
scene,4
patriarchal,4
gender,4
ird,4
good,4
least,4
things,4
ariel,4
metamorphoses,4
provided,4
society,4
therefore,4
dogs,4
blessed,4
make,4
read,4
gentle,4
ese,4
time,4
reasoning,4
v,4
perhaps,4
mercy,4
desires,4
becomes,4
beaumont,4
shipwrecked,4
use,4
brutish,4
pleasure,4
hunted,4
described,4
biblical,4
amazonian,4
diana,4
hunt,4
progeny,4
caliban,4
relationship,4
shepherdess,4
note,4
husband,4
christophero,4
mother,4
creatures,4
itself,4
following,4
conclusion,4
text,4
different,4
did,4
thy,4
far,4
better,4
fudge,4
beloved,4
odysseus,4
aspect,4
argues,4
finally,4
although,4
hunter,4
among,4
daughter,4
basingstoke,3
true,3
ways,3
theatre,3
position,3
before,3
something,3
turning,3
brutal,3
lower,3
common,3
highlighted,3
restoration,3
della,3
comedy,3
book,3
selfe,3
take,3
horses,3
mind,3
keith,3
robert,3
reading,3
case,3
takes,3
aspects,3
powers,3
daphne,3
natives,3
nicusa,3
lush,3
prey,3
subhuman,3
myth,3
since,3
hierarchy,3
de,3
g,3
turn,3
clark,3
serving,3
single,3
hasty,3
generation,3
alive,3
high,3
york,3
likeness,3
l,3
influential,3
notion,3
active,3
study,3
stella,3
pico,3
literary,3
thee,3
show,3
superior,3
powerful,3
asks,3
willing,3
lust,3
appear,3
ou,3
could,3
demands,3
commands,3
equal,3
fish,3
sport,3
hath,3
symbolically,3
well,3
shape,3
line,3
already,3
story,3
experience,3
actually,3
countess,3
farcical,3
quisara,3
successful,3
hard,3
field,3
brave,3
suggest,3
perigot,3
several,3
ship,3
temporary,3
certainly,3
gratiana,3
philip,3
generally,3
notes,3
am,3
rest,3
sidney,3
indigenous,3
equality,3
various,3
drama,3
limited,3
still,3
comments,3
initially,3
yet,3
makes,3
thought,3
under,3
god,3
aristotle,3
social,3
leader,3
fire,3
french,3
performance,3
longer,3
arguably,3
readers,3
thou,3
homer,3
children,3
free,3
shoot,3
admits,3
doomed,3
values,3
questions,3
canon,3
nothing,3
full,3
sees,3
clear,3
frustrated,3
held,3
period,3
oed,3
satyr,3
labour,3
become,3
mirandola,3
spenser,3
ye,3
macmillan,3
species,3
inhabitants,3
lost,3
gonzalo,3
astrophil,3
lear,3
word,3
physical,3
command,3
setting,3
gone,3
draws,3
just,3
knows,3
n,3
curs,3
form,3
monster,3
suggests,3
paradise,3
multiple,3
little,3
lies,3
territory,3
colonial,3
cambridge,3
aware,3
wish,3
playing,3
respective,3
texts,3
strong,3
taylor,3
final,2
groups,2
created,2
ready,2
irrational,2
baseness,2
crossing,2
group,2
fly,2
satisfied,2
pitty,2
fixed,2
recreation,2
usurping,2
unlike,2
inequality,2
tells,2
causes,2
claire,2
heidi,2
insatiate,2
chaos,2
might,2
address,2
repr,2
rational,2
thus,2
tradition,2
assertion,2
feminism,2
potentially,2
exotic,2
fully,2
concludes,2
composition,2
loves,2
subsequent,2
raised,2
shew,2
tortures,2
discipline,2
readiness,2
hoy,2
depends,2
mortal,2
capacity,2
continuum,2
u,2
addresses,2
italian,2
prior,2
capable,2
significance,2
apart,2
household,2
tawny,2
vowed,2
beneath,2
dignity,2
sweet,2
boatswain,2
throughout,2
selves,2
disorder,2
quality,2
eating,2
longevity,2
pursuit,2
inhumane,2
living,2
supremacy,2
term,2
kind,2
inhabited,2
underlying,2
places,2
subjects,2
body,2
ithaca,2
recalls,2
honour,2
y,2
look,2
vice,2
protects,2
longing,2
rights,2
handmaids,2
bring,2
edward,2
landscape,2
adam,2
goes,2
rescue,2
heard,2
saints,2
stops,2
thing,2
michel,2
viewed,2
