KEYTERMS,WEIGHT
burke,2.0
strife,1.4002723
dialectical,1.31606865
identification,1.2974221
motive,1.26019642
dialectic,1.2164651
persuasion,1.21557514
love,1.21155359
motif,1.20671779
symbolicity,1.20395005
crable,1.18517554
ultimate,1.17114876
biesecker,1.16673481
freud,1.1661562
division,1.15524445
dialectically,1.12550847
dialecticus,1.12276888
unity,1.10835147
mystification,1.10591041
claim,1.095102556
human,1.09168025
symbolic,1.0906998
estrangement,1.09034812
foundational,1.08218636
need,1.08166152
