WORDCOUNTS,WEIGHT
the,52
of,36
and,24
to,22
in,18
his,14
is,13
a,11
as,8
by,8
this,8
he,6
their,5
love,5
for,5
case,5
girls,4
from,4
that,4
s,4
her,4
cases,4
young,4
cohen,4
at,3
female,3
or,3
into,3
with,3
are,3
but,3
also,3
book,3
protagonists,3
has,3
victims,3
pallantieri,3
women,3
vittoria,3
lucretia,3
such,3
troiano,3
family,3
sisters,3
savelli,3
it,2
provide,2
criminal,2
male,2
giovanni,2
who,2
one,2
life,2
not,2
murder,2
history,2
these,2
most,2
experience,2
francesca,2
adulterous,2
power,2
attempts,2
result,2
together,2
access,2
court,2
men,2
tales,2
renaissance,2
wealth,2
perhaps,2
while,2
italian,2
brings,2
some,2
work,2
despite,2
knowledge,2
behavior,2
thus,2
which,2
lover,2
illustrates,2
brother,2
gramar,2
order,2
provides,2
on,2
often,2
can,2
texts,2
up,2
resistance,2
world,2
battista,2
actions,2
beadle,1
archives,1
gaining,1
downright,1
accomplices,1
flirts,1
second,1
done,1
german,1
lovers,1
genuinely,1
mirrors,1
incredible,1
window,1
rome,1
snatch,1
she,1
meets,1
sets,1
meticulously,1
action,1
been,1
indeed,1
molesting,1
grim,1
commit,1
fiction,1
clutches,1
whirl,1
intriguing,1
process,1
predatory,1
stranger,1
accepted,1
hers,1
seen,1
goes,1
contribution,1
alessio,1
they,1
blending,1
bastard,1
direct,1
complex,1
methods,1
agency,1
spectacular,1
resilient,1
inferno,1
fall,1
sister,1
consequences,1
space,1
elderly,1
risks,1
true,1
mother,1
yet,1
solidarity,1
interpretation,1
clumsy,1
modified,1
itself,1
mirror,1
acceptance,1
disastrous,1
enjoys,1
necessarily,1
v,1
participants,1
otherwise,1
sick,1
then,1
glimpse,1
bullying,1
firenzuola,1
just,1
lute,1
cretone,1
fiscatore,1
too,1
delved,1
rape,1
circumstances,1
burgeoning,1
simply,1
being,1
common,1
first,1
powerful,1
theme,1
either,1
social,1
boccaccio,1
double,1
sources,1
dante,1
members,1
giustini,1
betrayal,1
more,1
roman,1
clambering,1
sad,1
set,1
lust,1
downfall,1
taken,1
others,1
paolo,1
death,1
put,1
control,1
all,1
addition,1
uses,1
reach,1
limb,1
other,1
allow,1
scholars,1
leading,1
secondary,1
down,1
succeeds,1
examination,1
half,1
documents,1
deflowering,1
time,1
admittedly,1
were,1
able,1
very,1
historical,1
considerable,1
dramas,1
introduces,1
poetry,1
honor,1
forms,1
hand,1
stand,1
do,1
concepts,1
indirect,1
unique,1
context,1
appears,1
relevant,1
agile,1
alessandro,1
cannot,1
younger,1
maker,1
amorous,1
explain,1
monster,1
draws,1
primary,1
affair,1
murders,1
having,1
cinquecento,1
barebones,1
nuances,1
politics,1
minute,1
uncannily,1
background,1
comprises,1
reader,1
code,1
apart,1
peace,1
microhistories,1
fictional,1
through,1
consequent,1
desperate,1
example,1
confirm,1
judge,1
dirty,1
keeps,1
shamed,1
die,1
brutal,1
use,1
tale,1
recounts,1
wonderful,1
collection,1
families,1
challenges,1
records,1
overcoming,1
daughters,1
rare,1
nothing,1
prey,1
accessible,1
becomes,1
students,1
open,1
against,1
web,1
manipulation,1
finally,1
motives,1
running,1
least,1
although,1
like,1
crimes,1
so,1
an,1
him,1
reconstructed,1
excuse,1
options,1
you,1
crafted,1
thomas,1
distinct,1
old,1
around,1
castle,1
several,1
concept,1
beautifully,1
breached,1
intrigue,1
between,1
ludovico,1
six,1
inspiring,1
dramatic,1
romeo,1
overcome,1
latest,1
alliances,1
be,1
find,1
always,1
condemned,1
when,1
even,1
characters,1
severely,1
story,1
wife,1
strong,1
than,1
nun,1
protagonist,1
deflower,1
doing,1
eerily,1
haunting,1
tragic,1
nasty,1
offspring,1
justice,1
