WORDCOUNTS,WEIGHT
the,56
i,55
and,37
of,37
in,31
a,31
was,21
to,19
my,15
were,13
as,11
for,11
with,10
at,9
or,9
it,8
cairo,8
me,7
but,7
t,7
d,7
an,7
just,6
on,6
they,5
their,5
indian,5
only,5
more,5
had,5
out,5
arabic,5
when,5
by,4
women,4
that,4
all,4
could,4
classes,4
egyptian,4
people,4
which,4
week,4
everyone,3
myself,3
gastronomica,3
not,3
thought,3
from,3
else,3
each,3
recipes,3
sidewalk,3
didn,3
what,3
egyptians,3
made,3
city,3
food,3
after,3
around,3
men,3
egypt,3
saw,3
than,3
eggplants,2
way,2
been,2
rights,2
fruit,2
knew,2
still,2
neighborhood,2
them,2
went,2
center,2
one,2
life,2
glossy,2
get,2
university,2
into,2
sick,2
skin,2
no,2
these,2
most,2
came,2
first,2
street,2
every,2
here,2
s,2
down,2
walked,2
found,2
nineteen,2
milk,2
new,2
there,2
never,2
took,2
though,2
cultural,2
where,2
astoria,2
cooking,2
list,2
cab,2
woman,2
native,2
streets,2
day,2
healthy,2
because,2
produce,2
say,2
through,2
along,2
practically,2
shopping,2
million,2
california,2
years,2
this,2
nile,2
weeks,2
finally,2
so,2
summer,2
wasn,2
few,2
six,2
be,2
like,2
always,2
even,2
curry,2
little,2
perfect,1
dysentery,1
may,1
sooji,1
ers,1
cussion,1
front,1
now,1
twelve,1
spice,1
mostly,1
czechs,1
o,1
americans,1
revisionist,1
york,1
ingredients,1
lechers,1
bars,1
rather,1
whistled,1
if,1
later,1
meticulously,1
l,1
sharpenrating,1
lots,1
culinary,1
stalls,1
gradual,1
moskos,1
how,1
stop,1
delighted,1
ready,1
site,1
pieces,1
europeans,1
limited,1
pale,1
distress,1
photograph,1
months,1
plastic,1
nearly,1
cairene,1
bags,1
process,1
red,1
frumps,1
sensitive,1
gooz,1
alone,1
cadge,1
pile,1
above,1
completely,1
interactions,1
experiences,1
requests,1
saniadmitting,1
grew,1
relaxed,1
american,1
direct,1
innovation,1
star,1
permissions,1
study,1
often,1
nostalgia,1
properly,1
white,1
wan,1
spotlight,1
feel,1
once,1
is,1
cutlet,1
live,1
wives,1
picking,1
eyebrows,1
smoggy,1
recognized,1
museum,1
chattering,1
ach,1
meet,1
clumsy,1
oasis,1
alleys,1
gastrointestinal,1
pp,1
greengrocer,1
town,1
vermicelli,1
crowded,1
bad,1
mission,1
soon,1
comic,1
wearing,1
consulate,1
performer,1
addressed,1
signed,1
tomato,1
reprintinfo,1
history,1
intensive,1
laid,1
spotless,1
rarely,1
eventually,1
fifteen,1
light,1
culture,1
arrived,1
something,1
glorious,1
tomabrand,1
irrelitalians,1
queens,1
pointless,1
situations,1
show,1
schlepped,1
experience,1
gleaming,1
guavas,1
increasingly,1
mutton,1
store,1
anything,1
dynamos,1
shop,1
zora,1
pick,1
www,1
charismatic,1
love,1
physical,1
sheaf,1
volume,1
please,1
wrong,1
comparing,1
doi,1
also,1
permission,1
regents,1
hit,1
sold,1
repertoire,1
buying,1
important,1
spinach,1
hot,1
actual,1
neil,1
drivers,1
tourist,1
hours,1
raw,1
cucumber,1
foreign,1
skills,1
different,1
novel,1
contemptuous,1
substitute,1
other,1
affordable,1
alienation,1
head,1
did,1
best,1
twenty,1
endless,1
payasam,1
dispiriting,1
carrying,1
great,1
display,1
color,1
heck,1
time,1
train,1
lived,1
together,1
studied,1
crowd,1
diverse,1
personal,1
loud,1
privileged,1
end,1
anyway,1
gawking,1
condensed,1
help,1
called,1
chicken,1
intrigue,1
vegetables,1
late,1
left,1
wild,1
beginning,1
equally,1
reserved,1
handed,1
dusty,1
thirties,1
reproduce,1
bountiful,1
confused,1
lead,1
month,1
hindi,1
mixing,1
eggplant,1
coffee,1
whether,1
less,1
see,1
meal,1
slice,1
empty,1
spoke,1
house,1
attitude,1
dancing,1
eye,1
agricultural,1
heaps,1
stuffed,1
survival,1
perhaps,1
novelty,1
assault,1
taught,1
problem,1
adaptation,1
mahalabiya,1
lease,1
continuum,1
going,1
free,1
salads,1
vendor,1
kitchen,1
foreignness,1
stepped,1
having,1
vol,1
apartment,1
knife,1
don,1
opened,1
felt,1
some,1
beware,1
network,1
size,1
photocopy,1
pretend,1
schedule,1
who,1
intense,1
weird,1
solely,1
fake,1
varieties,1
stuck,1
epiphany,1
bear,1
clean,1
onto,1
g,1
prompted,1
met,1
cigarette,1
looking,1
chronically,1
press,1
kitchens,1
three,1
labyrinthine,1
concern,1
top,1
ten,1
presenters,1
reminded,1
entirely,1
com,1
squishy,1
sweet,1
gave,1
fit,1
largely,1
place,1
evant,1
gi,1
peevish,1
mob,1
learned,1
tomatoes,1
friend,1
gfc,1
stomforeign,1
stay,1
homewas,1
susceptible,1
toes,1
raising,1
sickness,1
mouth,1
asafetida,1
until,1
couple,1
shower,1
immediate,1
own,1
eating,1
croatians,1
since,1
backgrounds,1
constantly,1
parsley,1
finding,1
reality,1
have,1
web,1
stress,1
worrying,1
language,1
corner,1
aware,1
mode,1
peter,1
forgotten,1
good,1
change,1
wish,1
ease,1
honed,1
issn,1
ucpressjournals,1
solution,1
needed,1
started,1
leaf,1
tized,1
would,1
grammatical,1
speaking,1
markets,1
unfashionable,1
things,1
seized,1
high,1
packets,1
you,1
settling,1
mountain,1
colleagues,1
shortcuts,1
off,1
trumpeting,1
tasting,1
wednesday,1
black,1
promptly,1
midst,1
walking,1
shift,1
better,1
instruction,1
stray,1
ranged,1
putting,1
bangladeshis,1
sitting,1
am,1
leaves,1
queen,1
haze,1
airport,1
article,1
body,1
trying,1
employees,1
eyes,1
tator,1
http,1
patter,1
become,1
nimble,1
dates,1
compared,1
rejection,1
usual,1
twice,1
vendors,1
cook,1
dined,1
reminiscing,1
thin,1
dismangoes,1
brazilians,1
dark,1
trades,1
richness,1
up,1
assistants,1
valley,1
bistros,1
communication,1
ingredient,1
journal,1
look,1
looked,1
potato,1
immediately,1
moroccans,1
deeply,1
notes,1
jarring,1
tract,1
specannouncement,1
handful,1
greek,1
moved,1
evoked,1
infinite,1
master,1
isn,1
mobbed,1
asp,1
smattering,1
content,1
hunt,1
