WORDCOUNTS,WEIGHT
the,544
of,427
and,300
to,255
a,242
in,239
s,163
that,148
ms,136
donne,108
his,94
poems,88
for,87
somerset,86
fol,86
love,72
with,71
as,66
libels,62
he,62
on,60
have,60
this,59
is,59
overbury,58
was,56
i,54
manuscript,51
by,50
from,50
at,48
not,45
poem,43
poetry,43
who,42
an,40
these,39
it,37
verse,37
or,33
beaumont,33
bodleian,33
bl,32
court,31
such,31
john,31
one,30
london,30
but,30
which,30
her,30
wife,29
v,29
sir,29
are,29
miscellanies,28
had,27
howard,26
fols,26
p,26
essex,26
two,26
would,26
no,25
more,25
were,25
university,24
their,23
when,23
be,23
first,22
other,22
so,21
thomas,21
been,21
them,20
politics,19
most,19
also,19
political,19
libel,18
countess,18
after,18
may,18
she,18
early,18
they,17
affair,17
even,17
earl,17
second,17
ed,17
made,17
lady,17
verses,17
each,17
between,17
scandal,16
only,16
yet,16
another,16
did,16
both,16
women,15
has,15
miscellany,15
woman,15
collectors,15
manuscripts,15
frances,15
copies,15
d,15
carr,15
all,14
collection,14
literature,14
same,14
elizabethan,14
copy,13
printed,13
some,13
edition,13
epigram,13
folger,13
popular,13
c,13
texts,13
eckhardt,12
widow,12
could,12
found,12
own,12
joshua,12
many,12
henry,12
harley,12
version,12
add,12
page,11
if,11
compilers,11
english,11
rawl,11
before,11
book,11
rutland,11
literary,11
line,11
its,11
sidney,11
lisle,11
pp,11
like,11
earle,11
you,11
together,10
those,10
letter,10
than,10
late,10
well,10
r,10
poet,10
sullivan,10
see,10
james,10
began,10
poets,10
dalhousie,10
elegie,10
goodyer,10
among,10
later,9
transcribed,9
divorce,9
robert,9
nor,9
library,9
good,9
family,9
am,9
letters,9
make,9
oxford,9
culture,9
do,9
epigrams,9
collected,9
can,9
me,9
davies,9
stuart,8
england,8
old,8
jonson,8
my,8
hath,8
scribe,8
genre,8
knight,8
f,8
elizabeth,8
renaissance,8
new,8
poetic,8
husband,8
lines,8
then,8
known,8
print,8
what,8
docke,8
courtly,7
modern,7
t,7
editions,7
pinke,7
ben,7
there,7
ad,7
curse,7
sigs,7
added,7
how,7
bellany,7
least,7
order,7
bastard,7
neither,7
elegies,7
rutlandiæ,7
genres,7
essay,7
him,7
prose,7
any,7
text,7
here,7
comitissam,7
malone,7
rochester,7
although,7
word,6
royal,6
ffrom,6
headings,6
daniel,6
context,6
u,6
very,6
thus,6
includes,6
whore,6
against,6
third,6
mistress,6
section,6
thou,6
seile,6
praise,6
established,6
n,6
house,6
bedford,6
out,6
part,6
related,6
next,6
several,6
few,6
will,6
included,6
death,6
time,6
end,6
hand,6
books,6
full,6
versions,6
anagram,6
george,6
composed,6
senate,6
william,6
must,6
vvife,6
write,6
rosenbach,6
huntington,5
groups,5
needed,5
h,5
source,5
bustuary,5
words,5
written,5
case,5
recontextualization,5
similar,5
b,5
liber,5
just,5
too,5
w,5
m,5
suggested,5
nottingham,5
decades,5
whereas,5
whom,5
appears,5
trial,5
example,5
though,5
texas,5
read,5
lord,5
name,5
favorite,5
less,5
poore,5
beal,5
authors,5
distinction,5
petitio,5
especially,5
state,5
responsible,5
regularly,5
coterie,5
getam,5
eng,5
different,5
seem,5
associations,5
presented,5
ugly,5
include,5
news,5
much,5
now,4
common,4
college,4
center,4
satires,4
ostensibly,4
studies,4
gardner,4
into,4
somersets,4
negative,4
being,4
long,4
originally,4
ii,4
composition,4
subsequent,4
last,4
side,4
king,4
pagination,4
stella,4
possible,4
richard,4
headed,4
himself,4
since,4
group,4
y,4
let,4
portland,4
opposed,4
york,4
without,4
patron,4
l,4
ways,4
murder,4
sort,4
gathering,4
reason,4
egerton,4
beyond,4
instance,4
epideictic,4
protestant,4
appear,4
friends,4
houghton,4
radical,4
shall,4
carre,4
year,4
actually,4
catholic,4
research,4
up,4
wedding,4
wrote,4
launch,4
bald,4
relationship,4
about,4
sett,4
under,4
begins,4
others,4
arthur,4
readers,4
original,4
including,4
doubt,4
pincke,4
farmer,4
sloane,4
peter,4
swetnam,4
anticourtly,4
editors,4
continued,4
recognize,4
marotti,4
following,4
demonstrate,4
generic,4
know,4
chapman,4
connection,4
thy,4
historical,4
quoted,4
beginning,4
trying,4
unique,4
juxtaposed,4
swive,4
while,4
don,4
wth,4
through,4
cambridge,4
pwv,4
troupes,4
distinctions,4
point,4
conventions,4
responsio,4
doing,4
does,3
coll,3
worthy,3
ccro,3
theer,3
checking,3
unlike,3
francis,3
occurred,3
dyce,3
sequence,3
ovidian,3
wrong,3
swelling,3
contrasted,3
vols,3
beautiful,3
j,3
seems,3
great,3
loose,3
mind,3
date,3
shawcross,3
papers,3
historians,3
representations,3
doth,3
along,3
dublin,3
relationships,3
helen,3
author,3
told,3
libelous,3
reproduced,3
turn,3
praises,3
thornes,3
subjects,3
marriage,3
sonnet,3
left,3
maide,3
rights,3
recognized,3
edward,3
explicit,3
librum,3
pages,3
cases,3
means,3
tower,3
satyrique,3
heading,3
satyres,3
circulating,3
cost,3
mocking,3
called,3
seven,3
because,3
required,3
makers,3
work,3
pr,3
heart,3
reader,3
blacke,3
photographed,3
suggest,3
owned,3
quite,3
chamberlain,3
feilde,3
attitude,3
pritty,3
grateful,3
behalf,3
society,3
short,3
cathernes,3
study,3
religious,3
hrc,3
once,3
devereux,3
represents,3
index,3
complete,3
vicount,3
published,3
gentleman,3
toward,3
put,3
wesley,3
copied,3
eds,3
katherines,3
recontextualizations,3
recontextualized,3
sowernam,3
demonstrated,3
hear,3
lost,3
examples,3
considering,3
slaves,3
nothing,3
clear,3
som,3
held,3
individual,3
david,3
period,3
features,3
shortly,3
never,3
queen,3
article,3
relation,3
interpretations,3
figures,3
milgate,3
kinde,3
impressive,3
tech,3
stringer,3
transformed,3
sequences,3
life,3
cr,3
get,3
face,3
viscount,3
small,3
extant,3
chetham,3
argue,3
works,3
respect,3
turned,3
according,3
making,3
particular,3
edinburgh,3
collector,3
suggests,3
ideal,3
art,3
preserved,3
given,3
publishers,3
tried,3
appointed,3
ever,3
father,3
gæta,3
shown,3
ashmole,3
murderer,3
numerous,3
course,3
need,3
france,3
association,3
comparison,3
charles,3
thing,3
characters,3
little,3
evidently,3
hypothesis,3
appropriation,2
triple,2
car,2
broken,2
rev,2
widdow,2
till,2
career,2
market,2
e,2
view,2
mouth,2
scottish,2
