WORDCOUNTS,WEIGHT
the,657
of,413
and,339
in,275
a,255
to,235
s,185
as,154
that,153
is,129
jo,128
for,102
her,97
novel,92
women,90
it,86
little,81
this,66
which,60
with,58
by,57
beth,56
alcott,55
she,52
an,46
reading,45
we,45
not,45
on,45
lesbian,43
into,39
i,39
poems,39
but,37
see,37
writing,37
one,36
poem,36
love,35
be,35
p,34
they,33
march,33
at,32
its,32
have,30
are,29
desire,28
narrative,25
story,25
from,25
or,24
like,24
literature,24
out,23
reader,23
queer,23
new,23
pp,22
how,21
my,21
only,21
what,21
all,20
loss,20
read,20
more,20
also,20
time,20
so,20
between,20
through,20
sister,19
about,18
feminist,18
when,17
up,17
film,17
us,17
readers,17
book,16
than,16
may,16
their,16
itself,16
first,15
might,15
has,15
such,15
work,15
other,15
death,15
if,14
de,14
literary,14
can,14
identity,14
me,14
then,14
text,14
over,14
each,14
both,14
press,14
form,13
example,13
criticism,13
these,13
girls,13
there,12
most,12
plot,12
world,12
will,12
girl,12
ed,12
own,12
here,12
our,12
within,11
york,11
fantasy,11
because,11
good,11
hand,11
who,11
subject,11
you,11
much,11
univ,10
four,10
place,10
around,10
kent,10
case,10
making,10
writes,10
off,10
now,9
way,9
louisa,9
character,9
something,9
old,9
even,9
imagines,9
lauretis,9
gay,9
two,9
where,9
been,9
them,9
while,9
long,8
moment,8
kind,8
look,8
no,8
act,8
process,8
was,8
m,8
appear,8
had,8
makes,8
seeing,8
culture,8
dialectical,8
fact,8
end,8
never,8
judith,8
woman,8
another,8
things,8
relationship,8
often,8
get,8
attachment,8
very,8
think,8
question,8
bhaer,8
does,7
american,7
history,7
last,7
development,7
laurie,7
sisters,7
poetry,7
sentimental,7
well,7
order,7
textual,7
he,7
still,7
toward,7
murphy,7
enough,7
do,7
garret,7
made,7
after,7
thomas,7
becomes,7
life,7
chests,7
butler,7
historical,7
visible,7
content,7
representation,7
write,7
writer,7
go,6
studies,6
seems,6
possibilities,6
explores,6
takes,6
sexual,6
thus,6
professor,6
author,6
marriage,6
body,6
whose,6
without,6
rather,6
his,6
space,6
shall,6
future,6
part,6
falling,6
family,6
female,6
object,6
closet,6
rain,6
home,6
stanza,6
forms,6
less,6
perhaps,6
jameson,6
herself,6
theories,6
logic,6
eyes,6
become,6
lines,6
analysis,6
lid,6
consider,6
particularly,6
audience,6
works,6
particular,6
problem,6
pain,6
come,6
argues,6
sexuality,6
chicago,6
e,5
beauvoir,5
ways,5
sedgwick,5
before,5
production,5
give,5
words,5
great,5
meg,5
hands,5
written,5
point,5
thing,5
interesting,5
erotic,5
represented,5
trites,5
romantic,5
just,5
spirit,5
could,5
exactly,5
let,5
war,5
appears,5
simone,5
stadler,5
london,5
actually,5
carey,5
critical,5
happy,5
same,5
resolution,5
name,5
again,5
worn,5
psychic,5
halberstam,5
formal,5
california,5
essay,5
would,5
summer,5
especially,5
dickinson,5
must,5
almost,5
allows,5
formation,5
themselves,5
characters,5
should,5
dies,4
names,4
worthy,4
trojan,4
essays,4
true,4
approaches,4
transparency,4
being,4
nature,4
feminism,4
take,4
those,4
some,4
sweet,4
split,4
against,4
clark,4
young,4
interpretation,4
psychoanalytic,4
imitation,4
too,4
readings,4
access,4
homoerotic,4
homoerotics,4
stimpson,4
your,4
james,4
scene,4
possibility,4
wants,4
kathryn,4
heart,4
horse,4
explains,4
gender,4
used,4
away,4
least,4
dust,4
always,4
articulation,4
garrett,4
forever,4
letters,4
drama,4
make,4
once,4
fair,4
foucault,4
stories,4
refrain,4
father,4
sees,4
mourning,4
imagination,4
unruly,4
emily,4
force,4
hope,4
wives,4
any,4
following,4
ever,4
loving,4
paper,4
different,4
routledge,4
best,4
domestic,4
eventually,4
past,4
statement,4
theory,4
lies,4
tell,4
marry,4
frame,4
taking,4
early,4
miller,3
produces,3
limits,3
trans,3
sets,3
hair,3
tells,3
came,3
passion,3
either,3
attempts,3
enables,3
borders,3
origin,3
rich,3
borne,3
disappearance,3
course,3
play,3
issue,3
chapter,3
possible,3
politics,3
himself,3
letter,3
framework,3
exist,3
human,3
lover,3
mine,3
ethical,3
g,3
interest,3
overt,3
self,3
perspective,3
back,3
marital,3
though,3
identification,3
across,3
importance,3
b,3
leave,3
lives,3
favor,3
bad,3
wanted,3
presumably,3
wittig,3
position,3
melville,3
asks,3
willing,3
care,3
important,3
view,3
artistic,3
path,3
asserts,3
found,3
scenes,3
mimetism,3
produced,3
cannot,3
promise,3
outside,3
oh,3
expressions,3
aspects,3
civil,3
kosofsky,3
hidden,3
refuse,3
t,3
published,3
temporality,3
painting,3
sense,3
suggest,3
next,3
staged,3
boundaries,3
tomboy,3
describes,3
waiting,3
seemed,3
womanhood,3
critics,3
wrote,3
rights,3
opacity,3
above,3
boy,3
movement,3
represents,3
thought,3
ne,3
hopes,3
already,3
moments,3
social,3
diary,3
power,3
others,3
similarly,3
many,3
scholars,3
fredric,3
britches,3
choice,3
really,3
break,3
incorporation,3
everything,3
performances,3
michael,3
practice,3
ludus,3
encounter,3
fictional,3
elegy,3
expression,3
band,3
attic,3
described,3
open,3
co,3
eve,3
function,3
him,3
ended,3
kept,3
cogent,3
feet,3
reads,3
sight,3
ann,3
structure,3
attention,3
brown,3
figure,3
begin,3
inside,3
pens,3
why,3
dead,3
mother,3
face,3
prohibited,3
constituted,3
continues,3
offers,3
set,3
intellectual,3
spectator,3
sure,3
exploration,3
identities,3
grief,3
showalter,3
boston,3
chest,3
attachments,3
went,3
mimesis,3
ultimately,3
opens,3
finally,3
instead,3
effects,3
historicism,3
given,3
row,3
anticipates,2
done,2
struggle,2
child,2
page,2
imagining,2
meaning,2
oddity,2
uncomplaining,2
introduction,2
bequeath,2
passing,2
expect,2
becoming,2
kinds,2
prime,2
pierre,2
songs,2
constitutes,2
modern,2
harmony,2
title,2
faded,2
eye,2
princeton,2
experience,2
round,2
gap,2
wrong,2
every,2
laplanche,2
attempt,2
degree,2
knowing,2
tradition,2
room,2
elegiac,2
timing,2
roland,2
homosexual,2
nevertheless,2
fresh,2
mind,2
precisely,2
ours,2
somewhat,2
signs,2
behind,2
sound,2
side,2
key,2
bird,2
motion,2
primary,2
misreading,2
right,2
drive,2
beverly,2
bibliography,2
move,2
richard,2
heterosexuality,2
smooth,2
say,2
events,2
far,2
familial,2
promises,2
behavior,2
shut,2
poetical,2
married,2
famously,2
since,2
machine,2
agent,2
gendered,2
conjures,2
hendler,2
marxism,2
melancholic,2
fried,2
learning,2
keep,2
gustavus,2
difficulty,2
find,2
explore,2
journal,2
dear,2
reunited,2
details,2
general,2
cites,2
haggerty,2
jean,2
lyon,2
resists,2
generations,2
angeles,2
mclaughlin,2
swept,2
stanzas,2
completely,2
similar,2
michel,2
direct,2
parts,2
hearing,2
bhear,2
homophobia,2
feel,2
awareness,2
dyer,2
category,2
escape,2
university,2
forget,2
encourages,2
teaches,2
show,2
defines,2
putting,2
odd,2
dominant,2
films,2
hours,2
response,2
geniuses,2
ambitions,2
speaker,2
allegorically,2
underneath,2
demands,2
agatha,2
fetterley,2
density,2
further,2
fairer,2
record,2
however,2
tension,2
creates,2
foregrounds,2
suspended,2
bunyan,2
silver,2
monique,2
r,2
journals,2
effeminate,2
slouches,2
intense,2
overviews,2
responding,2
los,2
framed,2
repetition,2
nation,2
stores,2
caught,2
elizabeth,2
describe,2
older,2
literally,2
contains,2
hung,2
pedagogic,2
rendered,2
memoirs,2
encounters,2
successful,2
hard,2
field,2
brave,2
poet,2
saintly,2
desires,2
few,2
brought,2
presence,2
patience,2
rendition,2
dim,2
resistance,2
barthes,2
ghost,2
haunting,2
reluctant,2
appeal,2
second,2
identified,2
short,2
indeed,2
serene,2
description,2
nearly,2
commenced,2
covert,2
pivotal,2
yet,2
unfolds,2
permission,2
adrienne,2
soon,2
later,2
under,2
formally,2
j,2
light,2
complete,2
odds,2
cheerful,2
bridal,2
longer,2
afterlife,2
childhood,2
mark,2
elegies,2
barber,2
happening,2
creative,2
clarendon,2
children,2
fallen,2
man,2
external,2
angels,2
learn,2
ground,2
keys,2
marrying,2
ahead,2
books,2
sell,2
elaine,2
imagine,2
unselfish,2
hear,2
lost,2
examples,2
staging,2
heroine,2
trajectory,2
sicherman,2
distinctly,2
approach,2
sequence,2
questions,2
were,2
intimacy,2
three,2
restraint,2
sustain,2
lonely,2
issn,2
arc,2
objectness,2
period,2
lie,2
filled,2
poetic,2
provides,2
creech,2
glenn,2
relation,2
wise,2
teach,2
authorship,2
grain,2
intersubjective,2
ago,2
limiting,2
christian,2
today,2
publishing,2
george,2
doyle,2
vision,2
bound,2
prose,2
hill,2
scratched,2
rpt,2
bears,2
thematization,2
boxes,2
quite,2
hole,2
fall,2
teresa,2
dutiful,2
exists,2
sympathy,2
amy,2
grounded,2
matters,2
school,2
share,2
shadow,2
comes,2
conclusion,2
complexity,2
ve,2
manual,2
simply,2
proposes,2
besides,2
river,2
mirrors,2
know,2
berkeley,2
erotics,2
setting,2
gone,2
contradictory,2
subcultural,2
tears,2
reconcile,2
selected,2
wept,2
rhyme,2
linger,2
suspicion,2
pontalis,2
popular,2
bodies,2
careful,2
introduced,2
lesbianism,2
duty,2
beloved,2
publishers,2
screen,2
pound,2
gain,2
aspect,2
jan,2
named,2
wild,2
devoted,2
models,2
difference,2
catherine,2
wish,2
offer,2
d,2
consumption,2
relics,2
product,2
roberta,2
remains,2
shift,2
speak,2
specific,2
boyish,2
c,2
scholarship,2
re,2
resist,2
asked,2
doing,2
daughter,2
household,2
thorough,2
freud,1
glances,1
unpredictable,1
woven,1
resolve,1
carved,1
horror,1
impossibility,1
sing,1
wishful,1
madeleine,1
pauses,1
common,1
objectification,1
concerned,1
adopt,1
opinion,1
narrator,1
stood,1
whitman,1
suggested,1
till,1
commitment,1
trained,1
peaceful,1
career,1
excess,1
danced,1
college,1
fiction,1
struggled,1
thrown,1
allegorie,1
happen,1
submission,1
alone,1
epidemic,1
truer,1
starts,1
maidenhood,1
manuscript,1
sympathetic,1
identifies,1
police,1
dematerialized,1
prediction,1
complex,1
conflicts,1
hate,1
cofound,1
myth,1
identify,1
tend,1
entries,1
join,1
alberghene,1
motto,1
h,1
fuss,1
patriarch,1
shoe,1
inthe,1
earthly,1
easily,1
dialectically,1
ardent,1
censure,1
perfect,1
duke,1
former,1
acceptance,1
backs,1
devices,1
enjoys,1
fixed,1
tome,1
themoment,1
turns,1
encourage,1
biographical,1
expressed,1
moving,1
assume,1
binds,1
edu,1
publishes,1
immanent,1
turning,1
carving,1
themes,1
diaries,1
clamourously,1
member,1
anything,1
synonymous,1
sit,1
forgive,1
ideas,1
decidedly,1
lacanian,1
www,1
please,1
embraced,1
expands,1
certainly,1
posed,1
paragon,1
enacts,1
sad,1
unimaginable,1
taken,1
glq,1
inlittle,1
hum,1
refusal,1
generated,1
forcibly,1
articulate,1
themembers,1
rational,1
ourselves,1
dreams,1
england,1
official,1
departure,1
hour,1
inhabits,1
company,1
tutor,1
flowers,1
fulfills,1
wooden,1
assess,1
belong,1
uneasy,1
paranoia,1
warm,1
daily,1
prop,1
ungainly,1
thank,1
differences,1
sang,1
confirming,1
imaginary,1
temporalities,1
prize,1
follows,1
verbal,1
able,1
closer,1
psyche,1
wore,1
whistling,1
immortal,1
grip,1
loves,1
review,1
alarming,1
emblem,1
marmee,1
somany,1
closeted,1
infinitely,1
trouble,1
stand,1
respond,1
shepherd,1
henry,1
reserved,1
robert,1
henceforth,1
onemay,1
opposite,1
embody,1
thy,1
ambiguous,1
marries,1
motivated,1
daniel,1
visibility,1
context,1
el,1
legend,1
fulfilling,1
contents,1
system,1
courage,1
occasional,1
regimented,1
existence,1
modernist,1
mortal,1
asleep,1
walks,1
money,1
draws,1
planted,1
incorporate,1
draw,1
womanly,1
synecdoche,1
representations,1
design,1
feminization,1
heroically,1
felt,1
prior,1
fitting,1
implies,1
marked,1
compelling,1
strand,1
cap,1
kerber,1
flatten,1
april,1
powers,1
structurally,1
blithe,1
obvious,1
fine,1
upstairs,1
combination,1
except,1
maneuvered,1
decoding,1
pairs,1
cited,1
along,1
representing,1
keeps,1
acquires,1
beneath,1
prototype,1
urging,1
oblivion,1
signal,1
karen,1
labor,1
regarding,1
kirkup,1
preoccupied,1
goal,1
comprehensive,1
cunningham,1
chapters,1
throughout,1
domesticated,1
fascinated,1
shealy,1
prefaces,1
