WORDCOUNTS,WEIGHT
the,887
of,754
and,490
in,317
a,300
to,271
is,197
that,183
as,165
s,152
with,97
for,94
on,90
it,87
an,86
love,84
his,82
its,77
classical,59
not,57
this,56
antiquity,53
by,52
winckelmann,49
or,49
one,47
which,47
be,45
also,44
scholarship,43
other,41
bildung,39
der,39
from,36
at,35
history,35
he,35
but,35
philology,35
herder,34
study,32
has,31
am,31
we,31
art,31
page,30
only,29
more,29
can,29
are,27
both,27
was,26
so,26
have,26
ed,25
language,25
individual,25
past,25
wolf,24
i,24
knowledge,24
itself,24
what,24
her,24
if,23
no,23
und,23
see,23
schlegel,23
code,23
into,22
life,22
between,22
own,21
ancient,21
scholar,20
desire,20
discipline,20
human,20
all,19
romantic,19
new,19
like,19
who,19
potter,19
daughter,19
such,18
yet,18
here,18
modern,17
point,17
their,17
die,17
than,16
part,16
understanding,16
relationship,16
figure,16
world,16
they,15
lover,15
self,15
even,15
out,15
sons,15
subject,15
makes,15
model,15
greek,15
our,15
development,14
discourse,14
beauty,14
would,14
then,14
historical,14
des,14
through,14
way,13
liebe,13
beautiful,13
mind,13
may,13
work,13
been,13
when,13
turn,13
representat,12
ions,12
plato,12
century,12
culture,12
time,12
present,12
greece,12
form,12
had,11
account,11
german,11
though,11
will,11
friedrich,11
social,11
another,11
individuality,11
intimacy,11
outline,11
much,11
berlin,10
true,10
feeling,10
zur,10
act,10
rather,10
reference,10
most,10
ideal,10
sense,10
object,10
interpretation,10
same,10
fact,10
contemporary,10
symposium,10
become,10
she,10
being,9
case,9
author,9
modernity,9
how,9
von,9
image,9
just,9
example,9
johann,9
personal,9
two,9
writings,9
logic,9
luhmann,9
especially,9
education,9
abbt,9
difference,9
dibutades,8
could,8
were,8
communication,8
without,8
edition,8
too,8
beyond,8
davis,8
proper,8
therefore,8
female,8
about,8
us,8
eighteenth,8
aesthetic,8
imagination,8
relation,8
structure,8
personification,8
flesh,8
each,8
interpersonal,8
potts,8
scholarly,8
terms,8
particular,8
together,7
context,7
u,7
some,7
possible,7
conception,7
im,7
young,7
whose,7
very,7
poetry,7
because,7
pliny,7
schleiermacher,7
field,7
around,7
critical,7
writing,7
boeckh,7
never,7
original,7
made,7
essay,7
science,7
translation,7
any,7
historian,7
while,7
suggests,7
up,7
giving,7
