WORDCOUNTS,WEIGHT
the,1051
of,729
to,379
in,355
and,326
that,306
a,295
s,278
is,241
david,214
as,201
his,177
i,150
for,117
with,110
this,103
by,103
it,102
steerforth,99
novel,90
narrative,89
dickens,89
which,88
desire,84
an,79
be,76
at,68
he,65
copperfield,64
my,62
him,59
was,54
has,53
from,48
on,47
or,45
between,41
had,40
homoerotic,39
you,38
than,37
have,37
not,37
one,36
forster,36
agnes,36
been,33
autobiographical,32
what,32
object,31
heterosexual,31
will,30
but,30
her,30
such,29
more,29
so,29
butler,28
erotic,27
yet,27
uriah,27
are,27
himself,26
me,26
male,26
who,26
reader,25
secret,25
very,25
if,24
sexual,24
out,24
course,24
into,23
all,23
no,23
gender,23
other,22
hero,22
scene,22
identification,21
secrets,21
most,21
own,21
itself,20
rather,19
murdstone,19
its,19
friend,18
would,18
past,18
suggests,18
narrator,17
discipline,17
lejeune,17
their,17
could,17
however,17
loss,17
when,17
buckton,17
only,17
new,17
life,17
even,16
having,16
heart,16
these,16
love,16
any,16
oliver,16
miller,15
first,15
dora,15
were,15
masculine,15
little,15
heep,15
should,15
being,14
might,14
can,14
because,14
never,14
where,14
less,14
father,14
made,14
like,14
must,14
passage,14
account,13
part,13
once,13
autobiography,13
relation,13
we,13
then,13
terms,13
fiction,12
said,12
important,12
through,12
fact,12
identity,12
intimacy,12
relationship,12
figure,12
here,12
form,12
press,12
role,12
later,11
child,11
words,11
moreover,11
context,11
some,11
oedipal,11
space,11
whom,11
though,11
work,11
also,11
man,11
em,11
ever,11
much,11
representation,11
writing,11
there,10
within,10
univ,10
fragment,10
sister,10
poovey,10
indeed,10
effect,10
mother,10
know,10
them,10
before,9
something,9
reading,9
felt,9
melancholic,9
men,9
literary,9
actually,9
project,9
am,9
about,9
us,9
friendship,9
two,9
lack,9
great,9
fictional,9
perhaps,9
argue,9
pact,9
while,9
subject,9
characters,9
ly,8
blacking,8
those,8
language,8
represented,8
idealized,8
undisciplined,8
public,8
failure,8
lost,8
already,8
example,8
social,8
thought,8
name,8
childhood,8
desires,8
argues,8
another,8
story,8
crucial,8
text,8
agony,8
over,8
both,8
think,8
early,8
romance,7
t,7
attempts,7
boyhood,7
mind,7
precisely,7
mr,7
central,7
author,7
interest,7
look,7
shall,7
york,7
act,7
victorian,7
personal,7
novels,7
status,7
order,7
critical,7
girl,7
power,7
make,7
disciplinary,7
time,7
original,7
clear,7
function,7
serves,7
after,7
face,7
school,7
prohibited,7
preface,7
ll,7
different,7
turned,7
up,7
thereby,7
writer,7
specific,7
strong,7
now,6
handsome,6
english,6
women,6
seems,6
nature,6
subsequent,6
written,6
welsh,6
say,6
labor,6
thus,6
young,6
apparently,6
acknowledge,6
whose,6
how,6
explicit,6
romantic,6
objects,6
instance,6
sadoff,6
cannot,6
memory,6
well,6
claim,6
long,6
always,6
protagonist,6
therefore,6
curtain,6
makes,6
read,6
same,6
ed,6
stories,6
choice,6
inevitably,6
john,6
do,6
see,6
woman,6
violent,6
intimate,6
significant,6
significance,6
moral,6
reward,6
essay,6
least,6
become,6
figures,6
she,6
seen,6
insistence,6
offers,6
content,6
ultimately,6
ending,5
way,5
they,5
use,5
position,5
warehouse,5
displacement,5
onto,5
melancholia,5
somewhat,5
case,5
primary,5
activity,5
collins,5
shame,5
chapters,5
component,5
kind,5
self,5
dear,5
hardly,5
critics,5
elopement,5
process,5
image,5
threat,5
union,5
plot,5
determines,5
ambiguity,5
companion,5
equally,5
london,5
purpose,5
away,5
following,5
good,5
sense,5
suggest,5
contrast,5
engenders,5
disturbing,5
towards,5
disclosure,5
neither,5
home,5
without,5
law,5
ask,5
many,5
end,5
authorial,5
private,5
upon,5
shameful,5
pleasure,5
full,5
described,5
open,5
three,5
express,5
points,5
latter,5
scheherazade,5
fails,5
becomes,5
success,5
estella,5
why,5
often,5
repulsion,5
alone,5
eventually,5
scarcely,5
rival,5
physical,5
control,5
seem,5
did,5
nights,5
audience,5
emerges,5
voice,5
emphasis,5
question,5
until,5
guest,5
d,5
states,5
seeks,5
corkscrew,5
charles,5
dynamic,4
does,4
produces,4
companionship,4
closure,4
formed,4
motive,4
painful,4
production,4
resemblance,4
suggesting,4
homosexual,4
achievement,4
raised,4
access,4
key,4
arabian,4
determined,4
against,4
novelistic,4
characteristic,4
occurs,4
turn,4
nor,4
old,4
recollection,4
phantasmatic,4
refer,4
back,4
body,4
influence,4
myself,4
arm,4
revelation,4
preservation,4
means,4
clearly,4
warren,4
too,4
cost,4
strategy,4
admiration,4
friends,4
whereas,4
character,4
scenes,4
tells,4
melancholy,4
passionate,4
recently,4
genre,4
revealed,4
literature,4
calls,4
favourite,4
confession,4
attributed,4
successful,4
wrong,4
dangerous,4
night,4
family,4
few,4
revealing,4
secrecy,4
describes,4
notes,4
nonetheless,4
dispositions,4
female,4
still,4
experiences,4
initially,4
light,4
narratives,4
gay,4
invokes,4
pip,4
conceal,4
again,4
added,4
desiring,4
striking,4
wine,4
model,4
tell,4
explicitly,4
day,4
trajectory,4
affection,4
nothing,4
attraction,4
low,4
logic,4
worldly,4
class,4
betsey,4
note,4
gilmour,4
expectations,4
figured,4
forget,4
each,4
lying,4
scenario,4
merely,4
grinby,4
chicago,4
whether,4
want,4
house,4
statement,4
writes,4
extent,4
fascination,4
produce,4
turns,4
rigid,4
years,4
reveals,4
sexuality,4
speak,4
immediately,4
close,4
freud,3
resolve,3
frequent,3
go,3
spengemann,3
grotesque,3
mouth,3
philippe,3
ostensibly,3
fletcher,3
easily,3
subjection,3
source,3
chief,3
anything,3
else,3
every,3
letters,3
dreams,3
company,3
together,3
link,3
take,3
feature,3
unconscious,3
concealed,3
rake,3
resemblances,3
opened,3
politics,3
desired,3
confidences,3
westburg,3
unhappy,3
symonds,3
behavior,3
conflict,3
fixation,3
phase,3
relationships,3
development,3
becoming,3
moment,3
gendered,3
poker,3
eroticized,3
century,3
find,3
imaginary,3
gaze,3
libidinal,3
essential,3
links,3
sort,3
knew,3
earlier,3
lay,3
moves,3
characterizes,3
fantasy,3
escape,3
acquisition,3
elsewhere,3
traces,3
mary,3
acknowledges,3
additional,3
confessional,3
dominant,3
suggested,3
somatic,3
closely,3
acceptable,3
appearance,3
shared,3
rooms,3
further,3
cultural,3
buried,3
produced,3
undermined,3
feminine,3
required,3
possibility,3
figurative,3
intense,3
ideal,3
concept,3
brought,3
knowledge,3
thoughts,3
whole,3
during,3
place,3
keep,3
call,3
either,3
tone,3
renounced,3
wished,3
next,3
theater,3
quite,3
usual,3
boundaries,3
telling,3
wife,3
world,3
emily,3
displaced,3
parenthetically,3
rest,3
may,3
cathexis,3
drama,3
langbauer,3
attempt,3
criticism,3
violence,3
represents,3
sex,3
under,3
god,3
symptom,3
begins,3
increasingly,3
monitor,3
death,3
homophobic,3
secretive,3
sleep,3
manifested,3
resolved,3
forms,3
hand,3
posits,3
strategies,3
judith,3
practice,3
feminization,3
subjectivity,3
prohibition,3
attainment,3
admiring,3
elegy,3
expression,3
waking,3
legs,3
unacknowledged,3
admission,3
held,3
individual,3
haunted,3
fancy,3
provides,3
inscribed,3
sentiment,3
guilt,3
eyes,3
tendency,3
taking,3
behind,3
brown,3
suggestion,3
penguin,3
fully,3
trotwood,3
inside,3
primarily,3
bonds,3
soul,3
timid,3
paradoxical,3
construction,3
analysis,3
fall,3
attachment,3
earliest,3
homoeroticism,3
defining,3
believe,3
disillusionment,3
down,3
half,3
salem,3
attractions,3
going,3
person,3
believed,3
woodman,3
according,3
making,3
references,3
particular,3
loved,3
boys,3
almost,3
scenarios,3
presented,3
despite,3
became,3
bourgeois,3
went,3
infatuation,3
re,3
divided,3
aspect,3
musselwhite,3
come,3
formation,3
cambridge,3
functions,3
write,3
mode,3
offer,3
instead,3
define,3
remains,3
folly,3
passages,3
point,3
exclusively,3
recent,3
famous,3
termed,3
horror,2
anticipates,2
done,2
fallible,2
represent,2
distress,2
extend,2
asleep,2
wound,2
happier,2
police,2
told,2
needed,2
star,2
true,2
additionally,2
murdstones,2
modern,2
trace,2
enticing,2
history,2
ostensible,2
biographical,2
nineteenth,2
strikes,2
chooses,2
cutting,2
warns,2
hence,2
embraced,2
registered,2
creation,2
view,2
culturally,2
vols,2
disturbance,2
orphan,2
expectation,2
expiate,2
definition,2
hinting,2
secondary,2
assertion,2
display,2
thank,2
producing,2
complicity,2
proves,2
closer,2
reveal,2
concludes,2
room,2
real,2
loves,2
transposition,2
help,2
achieved,2
harmondsworth,2
political,2
committed,2
system,2
takes,2
recorded,2
recuperated,2
inverts,2
draw,2
prior,2
possible,2
implies,2
reaction,2
heterosexuality,2
combination,2
privileged,2
far,2
ignores,2
cited,2
letter,2
vaughan,2
learned,2
victim,2
punishing,2
goal,2
constitutive,2
de,2
accuracy,2
mine,2
virtues,2
inevitable,2
run,2
since,2
due,2
health,2
hierarchy,2
prefaces,2
recurs,2
ability,2
prohibitions,2
remembrances,2
relations,2
laurie,2
convention,2
forced,2
cases,2
times,2
fond,2
kinds,2
subjects,2
marriage,2
fate,2
autobiographically,2
left,2
trusting,2
spite,2
constructs,2
marital,2
deeply,2
adult,2
invites,2
came,2
addington,2
master,2
