WORDCOUNTS,WEIGHT
the,572
of,430
and,418
in,215
a,203
to,191
is,136
that,127
harlem,116
for,81
fi,77
as,74
aaron,70
angela,66
with,55
lm,52
but,48
it,46
on,45
also,43
are,42
this,42
s,41
love,40
an,40
not,40
from,40
other,39
african,36
or,35
more,35
be,33
what,32
was,31
between,30
by,29
new,29
puerto,29
has,29
space,28
which,28
its,27
have,27
racial,26
one,25
at,24
loves,24
americans,23
many,22
world,21
relation,21
different,21
too,21
there,20
through,20
american,19
like,19
cultural,19
rican,19
place,18
urban,18
into,17
some,17
affect,17
up,17
been,17
story,17
how,16
community,16
were,16
black,16
if,15
york,15
people,15
about,15
all,15
we,15
who,15
very,15
writes,15
i,14
his,14
culture,14
only,14
both,14
west,13
central,13
than,13
their,13
movement,13
intimacy,13
much,13
crossing,12
confl,12
diversity,12
had,12
others,12
identity,12
ethnic,12
life,12
you,12
together,11
those,11
just,11
multiplicity,11
communities,11
time,11
see,11
ricans,11
peoples,11
here,11
over,11
experience,10
shukla,10
emotion,10
east,10
important,10
p,10
glissant,10
social,10
perhaps,10
sandhya,10
loving,10
u,10
when,10
city,10
difference,10
does,9
way,9
something,9
feeling,9
politics,9
though,9
sort,9
boundaries,9
parks,9
otherness,9
another,9
diffi,9
symplokeˉ,8
they,8
group,8
might,8
possibilities,8
subjects,8
even,8
out,8
rst,8
well,8
drug,8
encounters,8
always,8
he,8
encounter,8
would,8
can,8
then,8
form,8
come,8
question,8
cation,8
race,8
groups,7
move,7
thomasine,7
white,7
feliciano,7
part,7
specifi,7
sense,7
gordon,7
read,7
emotions,7
do,7
bushrod,7
cities,7
while,7
history,6
being,6
t,6
political,6
fl,6
identifi,6
jr,6
process,6
feel,6
multicultural,6
plot,6
lived,6
affi,6
work,6
music,6
spanish,6
ict,6
these,6
two,6
forms,6
blackness,6
less,6
whiteness,6
massumi,6
made,6
after,6
thomas,6
she,6
each,6
her,6
course,6
willie,5
large,5
neighborhoods,5
live,5
character,5
desire,5
real,5
quality,5
self,5
back,5
response,5
young,5
critics,5
rather,5
icts,5
clearly,5
m,5
genre,5
friend,5
suggest,5
fly,5
interactions,5
minoritized,5
contemporary,5
man,5
outside,5
own,5
questions,5
open,5
so,5
ahmed,5
relationship,5
george,5
often,5
constituted,5
symbolic,5
alternative,5
down,5
argue,5
ma,5
defi,5
characters,5
subject,5
song,5
super,5
culties,4
complex,4
kinds,4
ways,4
realities,4
presents,4
gentrifi,4
certainly,4
script,4
seems,4
words,4
borders,4
differences,4
take,4
search,4
within,4
context,4
el,4
case,4
side,4
italian,4
lms,4
such,4
development,4
past,4
against,4
de,4
relations,4
century,4
turn,4
pasts,4
understood,4
sensations,4
massey,4
represented,4
special,4
tensions,4
emergence,4
beyond,4
asks,4
dominant,4
opening,4
my,4
respects,4
scene,4
possibility,4
shape,4
loss,4
racialized,4
partly,4
change,4
around,4
girl,4
contact,4
indeed,4
yet,4
neither,4
home,4
ghetto,4
may,4
psychic,4
renaissance,4
sorry,4
father,4
unpredictable,4
harvard,4
regions,4
complicated,4
period,4
him,4
why,4
migrants,4
become,4
need,4
conveyed,4
seen,4
transformation,4
class,4
es,4
mother,4
worlds,4
blaxploitation,4
comes,4
changing,4
dimension,4
global,4
particularly,4
living,4
places,4
economy,4
cult,4
explored,4
art,4
most,4
intimacies,4
territory,4
representation,4
formation,4
ultimately,4
models,4
cambridge,4
national,4
instead,4
area,4
needs,4
themselves,4
c,4
among,4
produces,3
struggle,3
ethnicities,3
succession,3
passing,3
modern,3
cast,3
production,3
setting,3
chaos,3
allow,3
vila,3
nature,3
takes,3
hewing,3
money,3
america,3
deal,3
ections,3
whites,3
dynamic,3
backgrounds,3
moment,3
kind,3
nor,3
allowing,3
deeply,3
sister,3
poor,3
performance,3
angeles,3
neighborhood,3
earlier,3
benjamin,3
consequences,3
means,3
soul,3
lives,3
romantic,3
sorts,3
established,3
basketball,3
familiar,3
elsewhere,3
powerful,3
continual,3
histories,3
found,3
joy,3
mapping,3
demands,3
cannot,3
your,3
opposition,3
jewish,3
because,3
intense,3
residents,3
los,3
emphasis,3
competing,3
civil,3
nation,3
minority,3
during,3
collective,3
destination,3
away,3
status,3
solidarities,3
responses,3
family,3
da,3
generally,3
london,3
rest,3
society,3
south,3
various,3
brian,3
juliet,3
classic,3
above,3
make,3
us,3
williams,3
street,3
inhabitants,3
power,3
projects,3
fact,3
creative,3
larger,3
diverse,3
incorporation,3
hand,3
present,3
ground,3
where,3
subway,3
native,3
strauss,3
routledge,3
gives,3
streets,3
discussion,3
taylor,3
sameness,3
largely,3
ideas,3
refl,3
meanings,3
directed,3
essay,3
individual,3
times,3
especially,3
mexicans,3
transcendence,3
globality,3
residual,3
movements,3
signifi,3
becomes,3
effectively,3
threaten,3
paradigmatic,3
any,3
ned,3
barrio,3
ever,3
theme,3
physical,3
proposes,3
offers,3
know,3
evokes,3
cultures,3
seem,3
capital,3
metaphorical,3
expresses,3
written,3
historical,3
person,3
romeo,3
whether,3
theory,3
likes,3
local,3
original,3
popular,3
infl,3
level,3
lies,3
indians,3
multiply,3
negro,3
crisis,3
register,3
remains,3
viewers,3
potential,3
chicago,3
ownership,3
cross,3
broader,3
built,3
ghting,2
limits,2
edge,2
melvin,2
ambivalence,2
concerned,2
later,2
estate,2
osofsky,2
burke,2
e,2
sphere,2
jews,2
diverge,2
word,2
mi,2
jonathan,2
studies,2
ux,2
ti,2
pose,2
unlike,2
before,2
princeton,2
romance,2
else,2
posed,2
napkin,2
meaning,2
dreams,2
knowing,2
broadly,2
short,2
confusion,2
closer,2
berlant,2
resulting,2
feature,2
somewhat,2
return,2
departures,2
prashad,2
key,2
doreen,2
dir,2
sexual,2
representations,2
opened,2
melodrama,2
relatedly,2
far,2
representing,2
gooey,2
sign,2
framework,2
exist,2
thus,2
review,2
pictures,2
utopian,2
bodily,2
characteristic,2
futures,2
walter,2
writ,2
rooted,2
learning,2
nelson,2
distinct,2
old,2
immigrants,2
clark,2
reimagining,2
david,2
refreshing,2
body,2
columbia,2
concert,2
africans,2
left,2
mobility,2
effective,2
gurock,2
explore,2
gaze,2
william,2
soundscape,2
newer,2
pay,2
rights,2
site,2
whose,2
likeness,2
no,2
dilemma,2
absent,2
across,2
generations,2
developed,2
orsi,2
mean,2
michel,2
alva,2
moves,2
terada,2
raymond,2
consider,2
elevated,2
outing,2
balkanized,2
notions,2
obstacles,2
consequence,2
decades,2
view,2
friends,2
moving,2
result,2
came,2
societies,2
could,2
critic,2
train,2
hands,2
color,2
patrick,2
shared,2
emerge,2
term,2
tran,2
shall,2
italians,2
stock,2
rei,2
scale,2
however,2
alcoff,2
tension,2
produce,2
creates,2
oh,2
wants,2
almost,2
errantry,2
line,2
literature,2
contexts,2
carries,2
writers,2
eds,2
calls,2
layered,2
flatley,2
tale,2
discussions,2
increasingly,2
mulatta,2
soundtrack,2
formations,2
teenagers,2
someone,2
next,2
sings,2
order,2
contrast,2
small,2
teams,2
autonomy,2
klor,2
feelings,2
lawdy,2
dramatic,2
usual,2
telling,2
impoverishment,2
tracks,2
eld,2
moved,2
evoked,2
will,2
trescott,2
nonetheless,2
economic,2
jackson,2
limited,2
forward,2
investments,2
object,2
multifarious,2
still,2
boy,2
backdrop,2
sensation,2
simultaneous,2
vs,2
makes,2
morgan,2
under,2
donalson,2
perceived,2
same,2
skin,2
literally,2
contains,2
emotional,2
heterosexual,2
messed,2
rise,2
legible,2
oxford,2
lewis,2
challenge,2
accompanies,2
maurrasse,2
stories,2
minnesota,2
daily,2
oneself,2
inherently,2
fear,2
men,2
adjacent,2
paris,2
model,2
interview,2
practice,2
deep,2
distance,2
artists,2
explicitly,2
desires,2
argues,2
interpreting,2
imagine,2
discourses,2
acknowledgment,2
exploring,2
situated,2
intimate,2
subjectivity,2
active,2
including,2
sequence,2
pleasure,2
actual,2
individuals,2
clear,2
historic,2
movies,2
leave,2
good,2
caribbean,2
helpful,2
farred,2
high,2
cally,2
chamoiseau,2
imagination,2
exchange,2
mohanty,2
anderson,2
effect,2
structure,2
everyday,2
looks,2
parameters,2
attracted,2
liation,2
entitled,2
negotiations,2
me,2
today,2
fairly,2
provide,2
minorities,2
begin,2
inside,2
certeau,2
dec,2
lost,2
transformed,2
rethinking,2
team,2
understand,2
importantly,2
anxious,2
analysis,2
teresa,2
hutchinson,2
itself,2
meant,2
sara,2
claims,2
immigrant,2
blackface,2
rarely,2
thinking,2
singular,2
material,2
minneapolis,2
must,2
habitation,2
known,2
graffi,2
text,2
sciences,2
pulsing,2
illuminate,2
literary,2
best,2
douard,2
bit,2
scenario,2
inquiry,2
eventually,2
going,2
ambivalent,2
marley,2
lens,2
spatial,2
kevin,2
terms,2
making,2
particular,2
extent,2
complexity,2
vehicle,2
ideal,2
siskel,2
categories,2
freedom,2
asians,2
focused,2
spaces,2
janice,2
latino,2
understanding,2
despite,2
content,2
pat,2
became,2
rigid,2
happens,2
conventional,2
coming,2
fortier,2
gure,2
genres,2
cognitive,2
socially,2
neoliberal,2
regular,2
arrivals,2
newness,2
sexuality,2
lol,2
territories,2
early,2
element,2
given,2
recent,2
exchanges,2
famous,2
should,2
heterogeneous,2
deeper,2
continuously,2
irrelevancy,1
adulthood,1
directors,1
go,1
superiority,1
gerald,1
unsure,1
surmount,1
humanism,1
resolve,1
dies,1
fertile,1
medieval,1
generated,1
particulars,1
corporate,1
resituating,1
commitment,1
ready,1
concern,1
represent,1
harlemworld,1
market,1
reconsidered,1
resulted,1
connection,1
portrayals,1
vogue,1
dissolution,1
oblique,1
introduction,1
nely,1
former,1
everybody,1
farrar,1
contemporaneous,1
visitation,1
center,1
hate,1
rethink,1
agency,1
putative,1
elaborated,1
atlanta,1
entries,1
songs,1
formed,1
true,1
english,1
mexican,1
affective,1
transparency,1
duke,1
acceptance,1
position,1
western,1
settling,1
malden,1
holding,1
lawdys,1
maybe,1
leaps,1
matter,1
resituates,1
interestingly,1
symploke,1
rming,1
cutting,1
first,1
anything,1
decidedly,1
transitions,1
explaining,1
clip,1
electoral,1
long,1
every,1
labor,1
expands,1
inexperienced,1
container,1
interests,1
derives,1
solidaristic,1
give,1
taken,1
musical,1
uncrossable,1
expectation,1
ourselves,1
freely,1
results,1
j,1
containing,1
engaged,1
stolen,1
jamaican,1
ethnicized,1
accommodate,1
credits,1
suggesting,1
simple,1
portrayal,1
fully,1
torres,1
producing,1
narrative,1
senses,1
follows,1
proves,1
broaching,1
transporting,1
located,1
reveal,1
onto,1
tx,1
anyway,1
debt,1
subsequent,1
achieved,1
ancestry,1
embrace,1
patterned,1
last,1
rudimentary,1
mind,1
liations,1
state,1
date,1
stand,1
blackwell,1
robert,1
investigations,1
adventures,1
embody,1
nal,1
ours,1
rundown,1
reading,1
replies,1
hostility,1
hostile,1
resonant,1
circuits,1
similarities,1
explosive,1
marketed,1
akin,1
tribune,1
employs,1
issue,1
existence,1
xed,1
ltd,1
draws,1
sought,1
mass,1
saying,1
muddled,1
rests,1
march,1
originates,1
uences,1
struggling,1
vol,1
laurent,1
felt,1
possible,1
marked,1
player,1
reaction,1
baudelaire,1
obvious,1
wing,1
apart,1
taking,1
normative,1
point,1
except,1
lyric,1
consequent,1
familial,1
resources,1
realistic,1
renewable,1
irrational,1
nd,1
beneath,1
engage,1
thinkers,1
harmony,1
intervenes,1
signal,1
eschewing,1
nostalgic,1
repeatedly,1
human,1
homage,1
phase,1
upheld,1
constitutive,1
throughout,1
centric,1
stasis,1
fun,1
melodramatic,1
mixing,1
pursue,1
eating,1
bent,1
since,1
due,1
anger,1
geographer,1
police,1
interest,1
relatively,1
ability,1
ow,1
portray,1
consolation,1
consumer,1
testifi,1
theorized,1
issn,1
yourself,1
fried,1
praising,1
wiley,1
hold,1
mixed,1
items,1
crosses,1
grapples,1
conveys,1
apollo,1
shopped,1
extraordinary,1
cant,1
uneasiness,1
wholly,1
lineage,1
simultaneity,1
arranged,1
continuous,1
undertaking,1
weight,1
hybrid,1
drawn,1
blackfansitedotorg,1
gilbert,1
performative,1
look,1
verso,1
tout,1
think,1
propositions,1
traditions,1
professionally,1
general,1
bills,1
uncommented,1
function,1
sisters,1
undone,1
competitive,1
rates,1
durham,1
reimagined,1
virtual,1
poverty,1
battles,1
crossroads,1
phases,1
yorkers,1
themes,1
lesser,1
opposed,1
mimicking,1
interesting,1
simultaneously,1
racism,1
without,1
elevating,1
endgame,1
dialogic,1
resists,1
jervis,1
subjected,1
observers,1
links,1
militates,1
slavery,1
portrayed,1
negatively,1
main,1
marxism,1
predictably,1
spill,1
believability,1
affairs,1
square,1
particularity,1
levels,1
pause,1
consternation,1
neatly,1
goes,1
arrangements,1
abstraction,1
phrases,1
pointedly,1
saints,1
persistent,1
unusually,1
stops,1
connected,1
kiss,1
similar,1
grew,1
certain,1
travels,1
hearing,1
dialogue,1
pages,1
nos,1
earl,1
arbor,1
expressing,1
ames,1
supposed,1
lots,1
changes,1
bad,1
operates,1
psychoanalytic,1
university,1
conceptualization,1
possibly,1
organization,1
encourages,1
languages,1
organized,1
ning,1
suitcase,1
presumably,1
latin,1
sum,1
director,1
numbers,1
gradually,1
remaking,1
weak,1
accessibility,1
observations,1
palgrave,1
upper,1
mixtures,1
four,1
commuter,1
cornel,1
bridges,1
inclinations,1
sport,1
colloquialism,1
traversal,1
underperformance,1
pork,1
comprising,1
cultured,1
rice,1
requires,1
sanford,1
wolof,1
visibly,1
thieves,1
answers,1
projected,1
antecedents,1
strategy,1
throwing,1
cut,1
eludes,1
appear,1
trajectories,1
categorical,1
globalization,1
oppositional,1
artistic,1
unproductive,1
whom,1
unfold,1
walk,1
remapping,1
location,1
abandoning,1
agenda,1
marion,1
entering,1
traumas,1
access,1
discrete,1
attack,1
combinations,1
resembles,1
signify,1
settles,1
stereotype,1
scenes,1
curiosity,1
austin,1
intermediary,1
centrally,1
near,1
endeavor,1
luxury,1
eat,1
captured,1
accompany,1
constantly,1
featured,1
base,1
collectively,1
markets,1
repudiate,1
big,1
confronts,1
density,1
intervening,1
grittiness,1
chinese,1
urgent,1
